"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3222","0.0-0.0","FL","g6wblx1ehg","1280","720","en","aj05er02","","","","","","","","","","","","","","",""
"","survey-html-form","1","10580","0.0-1.0","FL","g6wblx1ehg","1280","720","en","aj05er02","7355.925000039861","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","13048","0.0-3.0-0.0","FL","g6wblx1ehg","1280","720","en","aj05er02","2456.6950000589713","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","26888","0.0-3.0-1.0","FL","g6wblx1ehg","1280","720","en","aj05er02","13801.94500007201","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","132425","0.0-3.0-2.0","FL","g6wblx1ehg","1280","720","en","aj05er02","105524.7649999801","{""codeword_enter"":""aj05er02""}","","","","","","","","","","","","",""
"","instructions","5","176641","0.0-4.0","FL","g6wblx1ehg","1280","720","en","aj05er02","NA","","","[{""page_index"":0,""viewing_time"":3864.519999944605},{""page_index"":1,""viewing_time"":38843.30000006594}]","instructions","","","","","","","","","",""
"","resize","6","245122","0.0-5.0","FL","g6wblx1ehg","1280","720","en","aj05er02","","","","","","","350","2.2222222222222223","","","","","","",""
"","image-keyboard-response","7","245305","0.0-6.0-0.0","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","246465","0.0-6.0-1.0","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","247470","0.0-6.0-2.0","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","247653","0.0-6.0-0.1","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","248820","0.0-6.0-1.1","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","249822","0.0-6.0-2.1","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","249999","0.0-6.0-0.2","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","251155","0.0-6.0-1.2","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","252157","0.0-6.0-2.2","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","252335","0.0-6.0-0.3","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","253489","0.0-6.0-1.3","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","254490","0.0-6.0-2.3","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","254666","0.0-6.0-0.4","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","255831","0.0-6.0-1.4","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","256835","0.0-6.0-2.4","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","257013","0.0-6.0-0.5","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","258175","0.0-6.0-1.5","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","259178","0.0-6.0-2.5","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","259355","0.0-6.0-0.6","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","260512","0.0-6.0-1.6","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","261515","0.0-6.0-2.6","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","261692","0.0-6.0-0.7","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","262845","0.0-6.0-1.7","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","263849","0.0-6.0-2.7","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","264032","0.0-6.0-0.8","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","265190","0.0-6.0-1.8","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","266195","0.0-6.0-2.8","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","266377","0.0-6.0-0.9","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","267536","0.0-6.0-1.9","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","268545","0.0-6.0-2.9","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","268727","0.0-6.0-0.10","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","269894","0.0-6.0-1.10","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","270902","0.0-6.0-2.10","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","271085","0.0-6.0-0.11","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","272243","0.0-6.0-1.11","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","273250","0.0-6.0-2.11","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","273433","0.0-6.0-0.12","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","274591","0.0-6.0-1.12","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","275596","0.0-6.0-2.12","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","275773","0.0-6.0-0.13","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","276936","0.0-6.0-1.13","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","277941","0.0-6.0-2.13","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","278121","0.0-6.0-0.14","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","279276","0.0-6.0-1.14","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","280285","0.0-6.0-2.14","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","280467","0.0-6.0-0.15","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","281625","0.0-6.0-1.15","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","282633","0.0-6.0-2.15","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","282817","0.0-6.0-0.16","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","283970","0.0-6.0-1.16","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","57","284980","0.0-6.0-2.16","FL","g6wblx1ehg","1280","720","en","aj05er02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","",""
