"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","29699","0.0-0.0","LF","g8yr0b9yda","1366","768","en","er07im06","","","","","","","","","","","","","","",""
"","survey-html-form","1","35807","0.0-1.0","LF","g8yr0b9yda","1366","768","en","er07im06","6103.935000021011","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","137718","0.0-3.0-0.0","LF","g8yr0b9yda","1366","768","en","er07im06","101787.72999998182","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","161655","0.0-3.0-1.0","LF","g8yr0b9yda","1366","768","en","er07im06","23808.139999979176","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","255237","0.0-3.0-2.0","LF","g8yr0b9yda","1366","768","en","er07im06","93579.2299999157","{""codeword_enter"":""er07im06""}","","","","","","","","","","","","",""
"","instructions","5","270065","0.0-4.0","LF","g8yr0b9yda","1366","768","en","er07im06","NA","","","[{""page_index"":0,""viewing_time"":2840.0399999227375},{""page_index"":1,""viewing_time"":10484.315000008792}]","instructions","","","","","","","","","",""
"","resize","6","347525","0.0-5.0","LF","g8yr0b9yda","1366","768","en","er07im06","","","","","","","332","2.107936507936508","","","","","","",""
"","html-keyboard-response","7","348530","0.0-6.0-0.0","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","348859","0.0-6.0-1.0","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","349866","0.0-6.0-2.0","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","350868","0.0-6.0-0.1","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","351196","0.0-6.0-1.1","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","352199","0.0-6.0-2.1","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","353202","0.0-6.0-0.2","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","353529","0.0-6.0-1.2","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","354531","0.0-6.0-2.2","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","355533","0.0-6.0-0.3","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","355861","0.0-6.0-1.3","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","356863","0.0-6.0-2.3","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","357865","0.0-6.0-0.4","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","358192","0.0-6.0-1.4","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","359207","0.0-6.0-2.4","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","360223","0.0-6.0-0.5","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","360551","0.0-6.0-1.5","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","361553","0.0-6.0-2.5","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","362555","0.0-6.0-0.6","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","362883","0.0-6.0-1.6","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","363885","0.0-6.0-2.6","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","364886","0.0-6.0-0.7","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","365213","0.0-6.0-1.7","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","366216","0.0-6.0-2.7","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","367218","0.0-6.0-0.8","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","367546","0.0-6.0-1.8","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","368548","0.0-6.0-2.8","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","369552","0.0-6.0-0.9","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","369880","0.0-6.0-1.9","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","370891","0.0-6.0-2.9","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","371893","0.0-6.0-0.10","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","372221","0.0-6.0-1.10","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","373223","0.0-6.0-2.10","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","374225","0.0-6.0-0.11","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","374553","0.0-6.0-1.11","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","375555","0.0-6.0-2.11","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","376558","0.0-6.0-0.12","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","376886","0.0-6.0-1.12","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","377889","0.0-6.0-2.12","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","378891","0.0-6.0-0.13","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","379219","0.0-6.0-1.13","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","380221","0.0-6.0-2.13","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","381239","0.0-6.0-0.14","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","381566","0.0-6.0-1.14","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","382569","0.0-6.0-2.14","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","383571","0.0-6.0-0.15","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","383899","0.0-6.0-1.15","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","384901","0.0-6.0-2.15","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","385904","0.0-6.0-0.16","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","386231","0.0-6.0-1.16","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","57","387234","0.0-6.0-2.16","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide17.JPG","This is a bim:","",""
"","html-keyboard-response","58","388236","0.0-6.0-0.17","LF","g8yr0b9yda","1366","768","en","er07im06","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
