"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5397","0.0-0.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","","","","","","","","","","","","","","",""
"","survey-html-form","1","12462","0.0-1.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","7051.045000000158","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","76620","0.0-3.0-0.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","64115.87999999756","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","116169","0.0-3.0-1.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","39501.51000000187","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","174012","0.0-3.0-2.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","57835.504999995464","{""codeword_enter"":""mi06ka18""}","","","","","","","","","","","","",""
"","instructions","5","193311","0.0-4.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","NA","","","[{""page_index"":0,""viewing_time"":3392.955000002985},{""page_index"":1,""viewing_time"":14396.290000004228}]","instructions","","","","","","","","","",""
"","resize","6","246265","0.0-5.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","","","","","","","462","2.933333333333333","","","","","","",""
"","image-keyboard-response","7","246446","0.0-6.0-0.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","247616","0.0-6.0-1.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","248624","0.0-6.0-2.0","FL","hhm1sss4hy","1603","902","en","mi06ka18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","248807","0.0-6.0-0.1","FL","hhm1sss4hy","1603","902","en","mi06ka18","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","249972","0.0-6.0-1.1","FL","hhm1sss4hy","1603","902","en","mi06ka18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
