"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","1096770","0.0-0.0","LF","kbwv2blq88","1536","864","de","el09rd31","","","","","","","","","","","","","","",""
"","survey-html-form","1","1106035","0.0-1.0","LF","kbwv2blq88","1536","864","de","el09rd31","9262","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","1147018","0.0-2.0-0.0","LF","kbwv2blq88","1536","864","de","el09rd31","40913","","text/information.html","","","","","","","","","","","",""
"","external-html","3","1152336","0.0-2.0-1.0","LF","kbwv2blq88","1536","864","de","el09rd31","5245","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","1199193","0.0-2.0-2.0","LF","kbwv2blq88","1536","864","de","el09rd31","46855","{""codeword_enter"":""el09rd31""}","","","","","","","","","","","","",""
"","instructions","5","1222586","0.0-4.0","LF","kbwv2blq88","1536","864","de","el09rd31","NA","","","[{""page_index"":0,""viewing_time"":7598},{""page_index"":1,""viewing_time"":14292}]","instructions","","","","","","","","","",""
"","resize","6","1271784","0.0-5.0","LF","kbwv2blq88","1536","864","de","el09rd31","","","","","","","383","2.431746031746032","","","","","","",""
"","html-keyboard-response","7","1272785","0.0-6.0-0.0","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","1273111","0.0-6.0-1.0","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","1274114","0.0-6.0-2.0","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","1275116","0.0-6.0-0.1","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","1275442","0.0-6.0-1.1","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","1276444","0.0-6.0-2.1","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","1277445","0.0-6.0-0.2","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","1277771","0.0-6.0-1.2","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","1278773","0.0-6.0-2.2","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","1279774","0.0-6.0-0.3","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","1280100","0.0-6.0-1.3","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","1281101","0.0-6.0-2.3","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","1282101","0.0-6.0-0.4","LF","kbwv2blq88","1536","864","de","el09rd31","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
