"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4151","0.0-0.0","FL","khlkyd4sl5","1280","800","en","en04az24","","","","","","","","","","","","","","",""
"","survey-html-form","1","9147","0.0-1.0","FL","khlkyd4sl5","1280","800","en","en04az24","4982.429999974556","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","51109","0.0-3.0-0.0","FL","khlkyd4sl5","1280","800","en","en04az24","41888.68000009097","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","68430","0.0-3.0-1.0","FL","khlkyd4sl5","1280","800","en","en04az24","17187.44999996852","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","149792","0.0-3.0-2.0","FL","khlkyd4sl5","1280","800","en","en04az24","81341.8899999233","{""codeword_enter"":""en04az24""}","","","","","","","","","","","","",""
"","instructions","5","171675","0.0-4.0","FL","khlkyd4sl5","1280","800","en","en04az24","NA","","","[{""page_index"":0,""viewing_time"":5774.7000000672415},{""page_index"":1,""viewing_time"":14586.81499992963}]","instructions","","","","","","","","","",""
"","resize","6","238960","0.0-5.0","FL","khlkyd4sl5","1280","800","en","en04az24","","","","","","","498","3.1619047619047618","","","","","","",""
"","image-keyboard-response","7","239159","0.0-6.0-0.0","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","240335","0.0-6.0-1.0","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","241341","0.0-6.0-2.0","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","241526","0.0-6.0-0.1","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","242691","0.0-6.0-1.1","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","243701","0.0-6.0-2.1","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","243885","0.0-6.0-0.2","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","245047","0.0-6.0-1.2","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","246052","0.0-6.0-2.2","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","246244","0.0-6.0-0.3","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","247407","0.0-6.0-1.3","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","248420","0.0-6.0-2.3","FL","khlkyd4sl5","1280","800","en","en04az24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
