"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6054","0.0-0.0","LF","kk4adj1drx","1280","720","de","en05es25","","","","","","","","","","","","","","",""
"","survey-html-form","1","15998","0.0-1.0","LF","kk4adj1drx","1280","720","de","en05es25","9936.890000011772","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","106868","0.0-2.0-0.0","LF","kk4adj1drx","1280","720","de","en05es25","90338.73499999754","","text/information.html","","","","","","","","","","","",""
"","external-html","3","147835","0.0-2.0-1.0","LF","kk4adj1drx","1280","720","de","en05es25","40182.15499998769","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","252086","0.0-2.0-2.0","LF","kk4adj1drx","1280","720","de","en05es25","104234.48500002269","{""codeword_enter"":""en05es25""}","","","","","","","","","","","","",""
"","instructions","5","269513","0.0-4.0","LF","kk4adj1drx","1280","720","de","en05es25","NA","","","[{""page_index"":0,""viewing_time"":3364.174999995157},{""page_index"":1,""viewing_time"":12547.009999980219}]","instructions","","","","","","","","","",""
"","resize","6","320139","0.0-5.0","LF","kk4adj1drx","1280","720","de","en05es25","","","","","","","356","2.2603174603174603","","","","","","",""
"","html-keyboard-response","7","321146","0.0-6.0-0.0","LF","kk4adj1drx","1280","720","de","en05es25","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","321481","0.0-6.0-1.0","LF","kk4adj1drx","1280","720","de","en05es25","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","322483","0.0-6.0-2.0","LF","kk4adj1drx","1280","720","de","en05es25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","323493","0.0-6.0-0.1","LF","kk4adj1drx","1280","720","de","en05es25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
