"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","32442","0.0-0.0","FL","kpfcu6m48v","1600","900","en","in07er09","","","","","","","","","","","","","","",""
"","survey-html-form","1","54528","0.0-1.0","FL","kpfcu6m48v","1600","900","en","in07er09","22080.19999996759","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","285192","0.0-3.0-0.0","FL","kpfcu6m48v","1600","900","en","in07er09","230512.98000011593","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","419336","0.0-3.0-1.0","FL","kpfcu6m48v","1600","900","en","in07er09","134006.92500011064","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","526849","0.0-3.0-2.0","FL","kpfcu6m48v","1600","900","en","in07er09","107510.93000010587","{""codeword_enter"":""in07er09""}","","","","","","","","","","","","",""
"","instructions","5","565745","0.0-4.0","FL","kpfcu6m48v","1600","900","en","in07er09","NA","","","[{""page_index"":0,""viewing_time"":18776.004999876022},{""page_index"":1,""viewing_time"":18615.860000019893}]","instructions","","","","","","","","","",""
"","resize","6","667849","0.0-5.0","FL","kpfcu6m48v","1600","900","en","in07er09","","","","","","","442","2.8063492063492066","","","","","","",""
"","image-keyboard-response","7","668027","0.0-6.0-0.0","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","669181","0.0-6.0-1.0","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","670185","0.0-6.0-2.0","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","670363","0.0-6.0-0.1","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","671516","0.0-6.0-1.1","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","672518","0.0-6.0-2.1","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","672696","0.0-6.0-0.2","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","673848","0.0-6.0-1.2","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","674852","0.0-6.0-2.2","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","675029","0.0-6.0-0.3","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","676181","0.0-6.0-1.3","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","677183","0.0-6.0-2.3","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","677360","0.0-6.0-0.4","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","678512","0.0-6.0-1.4","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","679515","0.0-6.0-2.4","FL","kpfcu6m48v","1600","900","en","in07er09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
