"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","8794","0.0-0.0","LF","l2tdyj71gq","1920","1080","de","er04as06","","","","","","","","","","","","","","",""
"","survey-html-form","1","17037","0.0-1.0","LF","l2tdyj71gq","1920","1080","de","er04as06","8235","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","94576","0.0-2.0-0.0","LF","l2tdyj71gq","1920","1080","de","er04as06","77299","","text/information.html","","","","","","","","","","","",""
"","external-html","3","116813","0.0-2.0-1.0","LF","l2tdyj71gq","1920","1080","de","er04as06","22040","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","181594","0.0-2.0-2.0","LF","l2tdyj71gq","1920","1080","de","er04as06","64772","{""codeword_enter"":""er04as06""}","","","","","","","","","","","","",""
"","instructions","5","198708","0.0-4.0","LF","l2tdyj71gq","1920","1080","de","er04as06","NA","","","[{""page_index"":0,""viewing_time"":2480},{""page_index"":1,""viewing_time"":13126}]","instructions","","","","","","","","","",""
"","resize","6","232092","0.0-5.0","LF","l2tdyj71gq","1920","1080","de","er04as06","","","","","","","470","2.9841269841269837","","","","","","",""
"","html-keyboard-response","7","233097","0.0-6.0-0.0","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","233426","0.0-6.0-1.0","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","234429","0.0-6.0-2.0","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","235432","0.0-6.0-0.1","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","235761","0.0-6.0-1.1","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","236763","0.0-6.0-2.1","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","237765","0.0-6.0-0.2","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","238094","0.0-6.0-1.2","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","239096","0.0-6.0-2.2","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","240098","0.0-6.0-0.3","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","240426","0.0-6.0-1.3","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","241428","0.0-6.0-2.3","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","242430","0.0-6.0-0.4","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","242757","0.0-6.0-1.4","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","243759","0.0-6.0-2.4","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","244762","0.0-6.0-0.5","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","245089","0.0-6.0-1.5","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","246091","0.0-6.0-2.5","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","247093","0.0-6.0-0.6","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","247420","0.0-6.0-1.6","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","248422","0.0-6.0-2.6","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","249423","0.0-6.0-0.7","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","249751","0.0-6.0-1.7","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","250753","0.0-6.0-2.7","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","251755","0.0-6.0-0.8","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","252083","0.0-6.0-1.8","LF","l2tdyj71gq","1920","1080","de","er04as06","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
