"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","7255","0.0-0.0","FL","ltyqe11amm","1920","1080","de","er05in25","","","","","","","","","","","","","","",""
"","survey-html-form","1","22178","0.0-1.0","FL","ltyqe11amm","1920","1080","de","er05in25","14912","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","125793","0.0-2.0-0.0","FL","ltyqe11amm","1920","1080","de","er05in25","103512","","text/information.html","","","","","","","","","","","",""
"","external-html","3","238165","0.0-2.0-1.0","FL","ltyqe11amm","1920","1080","de","er05in25","112242","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","333480","0.0-2.0-2.0","FL","ltyqe11amm","1920","1080","de","er05in25","95307","{""codeword_enter"":""er05in25""}","","","","","","","","","","","","",""
"","instructions","5","348748","0.0-4.0","FL","ltyqe11amm","1920","1080","de","er05in25","NA","","","[{""page_index"":0,""viewing_time"":2633},{""page_index"":1,""viewing_time"":11127}]","instructions","","","","","","","","","",""
"","resize","6","492663","0.0-5.0","FL","ltyqe11amm","1920","1080","de","er05in25","","","","","","","480","3.0476190476190474","","","","","","",""
"","image-keyboard-response","7","492843","0.0-6.0-0.0","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","493997","0.0-6.0-1.0","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","494999","0.0-6.0-2.0","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","495178","0.0-6.0-0.1","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","496331","0.0-6.0-1.1","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","497334","0.0-6.0-2.1","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","497511","0.0-6.0-0.2","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","498666","0.0-6.0-1.2","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","499669","0.0-6.0-2.2","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","499846","0.0-6.0-0.3","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","500998","0.0-6.0-1.3","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","502000","0.0-6.0-2.3","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","502178","0.0-6.0-0.4","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","503330","0.0-6.0-1.4","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","504332","0.0-6.0-2.4","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","504511","0.0-6.0-0.5","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","505665","0.0-6.0-1.5","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","506667","0.0-6.0-2.5","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","506844","0.0-6.0-0.6","FL","ltyqe11amm","1920","1080","de","er05in25","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
