"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3099","0.0-0.0","FL","mj8qhhm23d","1920","1080","de","va08im28","","","","","","","","","","","","","","",""
"","survey-html-form","1","8473","0.0-1.0","FL","mj8qhhm23d","1920","1080","de","va08im28","5372","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","13249","0.0-2.0-0.0","FL","mj8qhhm23d","1920","1080","de","va08im28","4730","","text/information.html","","","","","","","","","","","",""
"","external-html","3","20756","0.0-2.0-1.0","FL","mj8qhhm23d","1920","1080","de","va08im28","7477","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","64049","0.0-2.0-2.0","FL","mj8qhhm23d","1920","1080","de","va08im28","43291","{""codeword_enter"":""va08im28""}","","","","","","","","","","","","",""
"","instructions","5","79051","0.0-4.0","FL","mj8qhhm23d","1920","1080","de","va08im28","NA","","","[{""page_index"":0,""viewing_time"":4686},{""page_index"":1,""viewing_time"":8813}]","instructions","","","","","","","","","",""
"","resize","6","432482","0.0-5.0","FL","mj8qhhm23d","1920","1080","de","va08im28","","","","","","","324","2.057142857142857","","","","","","",""
"","image-keyboard-response","7","432658","0.0-6.0-0.0","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","433810","0.0-6.0-1.0","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","434811","0.0-6.0-2.0","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","434988","0.0-6.0-0.1","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","436140","0.0-6.0-1.1","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","437141","0.0-6.0-2.1","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","437317","0.0-6.0-0.2","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","438467","0.0-6.0-1.2","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","439468","0.0-6.0-2.2","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","439643","0.0-6.0-0.3","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","440793","0.0-6.0-1.3","FL","mj8qhhm23d","1920","1080","de","va08im28","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
