"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","8244","0.0-0.0","FL","mn35br66m1","1536","864","de","IS05RY26","","","","","","","","","","","","","","",""
"","survey-html-form","1","21734","0.0-1.0","FL","mn35br66m1","1536","864","de","IS05RY26","13487.079999991693","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","573632","0.0-2.0-0.0","FL","mn35br66m1","1536","864","de","IS05RY26","551780.8700000169","","text/information.html","","","","","","","","","","","",""
"","external-html","3","616065","0.0-2.0-1.0","FL","mn35br66m1","1536","864","de","IS05RY26","42341.09499998158","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","690185","0.0-2.0-2.0","FL","mn35br66m1","1536","864","de","IS05RY26","74115.83499994595","{""codeword_enter"":""IS05RY26""}","","","","","","","","","","","","",""
"","instructions","5","725253","0.0-4.0","FL","mn35br66m1","1536","864","de","IS05RY26","NA","","","[{""page_index"":0,""viewing_time"":9006.575000006706},{""page_index"":1,""viewing_time"":24549.644999962766}]","instructions","","","","","","","","","",""
"","resize","6","777799","0.0-5.0","FL","mn35br66m1","1536","864","de","IS05RY26","","","","","","","386","2.450793650793651","","","","","","",""
"","image-keyboard-response","7","777979","0.0-6.0-0.0","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","779142","0.0-6.0-1.0","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","780144","0.0-6.0-2.0","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","780321","0.0-6.0-0.1","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","781488","0.0-6.0-1.1","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","782498","0.0-6.0-2.1","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","782675","0.0-6.0-0.2","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","783851","0.0-6.0-1.2","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","784867","0.0-6.0-2.2","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","785043","0.0-6.0-0.3","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","786196","0.0-6.0-1.3","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","787210","0.0-6.0-2.3","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","787387","0.0-6.0-0.4","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","788555","0.0-6.0-1.4","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","789558","0.0-6.0-2.4","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","789744","0.0-6.0-0.5","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","790903","0.0-6.0-1.5","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","791917","0.0-6.0-2.5","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","792107","0.0-6.0-0.6","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","793272","0.0-6.0-1.6","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","794284","0.0-6.0-2.6","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","794470","0.0-6.0-0.7","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","795639","0.0-6.0-1.7","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","796649","0.0-6.0-2.7","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","796833","0.0-6.0-0.8","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","797990","0.0-6.0-1.8","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","799002","0.0-6.0-2.8","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","799190","0.0-6.0-0.9","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","800342","0.0-6.0-1.9","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","801353","0.0-6.0-2.9","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","801530","0.0-6.0-0.10","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","802691","0.0-6.0-1.10","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","803705","0.0-6.0-2.10","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","803889","0.0-6.0-0.11","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","805059","0.0-6.0-1.11","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","806071","0.0-6.0-2.11","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","806258","0.0-6.0-0.12","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","807424","0.0-6.0-1.12","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","808438","0.0-6.0-2.12","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","808615","0.0-6.0-0.13","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","809777","0.0-6.0-1.13","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","810794","0.0-6.0-2.13","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","810981","0.0-6.0-0.14","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","812137","0.0-6.0-1.14","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","813153","0.0-6.0-2.14","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","813338","0.0-6.0-0.15","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","814504","0.0-6.0-1.15","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","815518","0.0-6.0-2.15","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","815695","0.0-6.0-0.16","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","816856","0.0-6.0-1.16","FL","mn35br66m1","1536","864","de","IS05RY26","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
