"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4922","0.0-0.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","","","","","","","","","","","","","","",""
"","survey-html-form","1","13567","0.0-1.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","8641","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","362783","0.0-3.0-0.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","349137","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","404936","0.0-3.0-1.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","42027","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","421230","0.0-3.0-2.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","16292","{""codeword_enter"":""TZ07ER11""}","","","","","","","","","","","","",""
"","instructions","5","436133","0.0-4.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","NA","","","[{""page_index"":0,""viewing_time"":1620},{""page_index"":1,""viewing_time"":11779}]","instructions","","","","","","","","","",""
"","resize","6","505011","0.0-5.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","","","","","","","609","3.8666666666666667","","","","","","",""
"","html-keyboard-response","7","506014","0.0-6.0-0.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","506343","0.0-6.0-1.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","507346","0.0-6.0-2.0","LF","nav0ha06h4","1366","768","en","TZ07ER11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","508350","0.0-6.0-0.1","LF","nav0ha06h4","1366","768","en","TZ07ER11","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","508679","0.0-6.0-1.1","LF","nav0ha06h4","1366","768","en","TZ07ER11","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","509681","0.0-6.0-2.1","LF","nav0ha06h4","1366","768","en","TZ07ER11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","510684","0.0-6.0-0.2","LF","nav0ha06h4","1366","768","en","TZ07ER11","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
