"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","7190","0.0-0.0","FL","nbzeelogn1","1280","720","en","AL05AR15","","","","","","","","","","","","","","",""
"","survey-html-form","1","20234","0.0-1.0","FL","nbzeelogn1","1280","720","en","AL05AR15","13032.05999918282","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","107831","0.0-3.0-0.0","FL","nbzeelogn1","1280","720","en","AL05AR15","87474.17000122368","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","125307","0.0-3.0-1.0","FL","nbzeelogn1","1280","720","en","AL05AR15","17318.32999922335","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","364374","0.0-3.0-2.0","FL","nbzeelogn1","1280","720","en","AL05AR15","239044.63499970734","{""codeword_enter"":""AL05AR15""}","","","","","","","","","","","","",""
"","instructions","5","388536","0.0-4.0","FL","nbzeelogn1","1280","720","en","AL05AR15","NA","","","[{""page_index"":0,""viewing_time"":2661.879999563098},{""page_index"":1,""viewing_time"":19980.98500072956}]","instructions","","","","","","","","","",""
"","resize","6","449908","0.0-5.0","FL","nbzeelogn1","1280","720","en","AL05AR15","","","","","","","368","2.336507936507936","","","","","","",""
"","image-keyboard-response","7","450105","0.0-6.0-0.0","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","451282","0.0-6.0-1.0","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","452300","0.0-6.0-2.0","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","452491","0.0-6.0-0.1","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","453654","0.0-6.0-1.1","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","454659","0.0-6.0-2.1","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","454842","0.0-6.0-0.2","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","456006","0.0-6.0-1.2","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","457010","0.0-6.0-2.2","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","457195","0.0-6.0-0.3","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","458359","0.0-6.0-1.3","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","459363","0.0-6.0-2.3","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","459547","0.0-6.0-0.4","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","460710","0.0-6.0-1.4","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","461729","0.0-6.0-2.4","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","461916","0.0-6.0-0.5","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","463080","0.0-6.0-1.5","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","464083","0.0-6.0-2.5","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","464268","0.0-6.0-0.6","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","465432","0.0-6.0-1.6","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","466446","0.0-6.0-2.6","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","466637","0.0-6.0-0.7","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","467804","0.0-6.0-1.7","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","468815","0.0-6.0-2.7","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","469006","0.0-6.0-0.8","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","470170","0.0-6.0-1.8","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","471175","0.0-6.0-2.8","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","471359","0.0-6.0-0.9","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","472524","0.0-6.0-1.9","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","473542","0.0-6.0-2.9","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","473729","0.0-6.0-0.10","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","474896","0.0-6.0-1.10","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","475907","0.0-6.0-2.10","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","476096","0.0-6.0-0.11","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","477262","0.0-6.0-1.11","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","478264","0.0-6.0-2.11","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","478443","0.0-6.0-0.12","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","479611","0.0-6.0-1.12","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","480620","0.0-6.0-2.12","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","480804","0.0-6.0-0.13","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","481969","0.0-6.0-1.13","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","482980","0.0-6.0-2.13","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","483168","0.0-6.0-0.14","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","484332","0.0-6.0-1.14","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","485336","0.0-6.0-2.14","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","485529","0.0-6.0-0.15","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","486702","0.0-6.0-1.15","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","487714","0.0-6.0-2.15","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","487905","0.0-6.0-0.16","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","489072","0.0-6.0-1.16","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","57","490084","0.0-6.0-2.16","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","",""
"","image-keyboard-response","58","490275","0.0-6.0-0.17","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","59","491434","0.0-6.0-1.17","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","60","492446","0.0-6.0-2.17","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide18.JPG","That was a tob.","",""
"","image-keyboard-response","61","492628","0.0-6.0-0.18","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
"","html-keyboard-response","62","493792","0.0-6.0-1.18","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","63","494805","0.0-6.0-2.18","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide19.JPG","That was a wug.","",""
"","image-keyboard-response","64","494994","0.0-6.0-0.19","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide20.JPG","null","","","","",""
"","html-keyboard-response","65","496160","0.0-6.0-1.19","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","66","497178","0.0-6.0-2.19","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide20.JPG","That was a bim.","",""
"","image-keyboard-response","67","497365","0.0-6.0-0.20","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","","","","","learning/Slide21.JPG","null","","","","",""
"","html-keyboard-response","68","498527","0.0-6.0-1.20","FL","nbzeelogn1","1280","720","en","AL05AR15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
