"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5645","0.0-0.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","","","","","","","","","","","","","","",""
"","survey-html-form","1","15030","0.0-1.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","9378.709999960847","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","65599","0.0-2.0-0.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","50429.15500001982","","text/information.html","","","","","","","","","","","",""
"","external-html","3","137557","0.0-2.0-1.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","71801.50500009768","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","218987","0.0-2.0-2.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","81417.95999999158","{""codeword_enter"":""pf06nd18""}","","","","","","","","","","","","",""
"","instructions","5","241262","0.0-4.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","NA","","","[{""page_index"":0,""viewing_time"":4178.2550000352785},{""page_index"":1,""viewing_time"":16587.984999991022}]","instructions","","","","","","","","","",""
"","resize","6","320322","0.0-5.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","","","","","","","476","3.022222222222222","","","","","","",""
"","html-keyboard-response","7","321329","0.0-6.0-0.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","321662","0.0-6.0-1.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","322673","0.0-6.0-2.0","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","323677","0.0-6.0-0.1","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","324007","0.0-6.0-1.1","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","325017","0.0-6.0-2.1","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","326026","0.0-6.0-0.2","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","326365","0.0-6.0-1.2","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","327377","0.0-6.0-2.2","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","328386","0.0-6.0-0.3","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","328732","0.0-6.0-1.3","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","329736","0.0-6.0-2.3","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","330747","0.0-6.0-0.4","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","331082","0.0-6.0-1.4","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","332093","0.0-6.0-2.4","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","333096","0.0-6.0-0.5","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","333432","0.0-6.0-1.5","LF","nlsem5jp13","1920","1080","de","pf06nd18","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
