"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2697","0.0-0.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","","","","","","","","","","","","","","",""
"","survey-html-form","1","4769","0.0-1.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","2060.6849999167025","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","26027","0.0-3.0-0.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","21233.894999953918","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","33102","0.0-3.0-1.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","6895.540000055917","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","68494","0.0-3.0-2.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","35390.114999958314","{""codeword_enter"":""af05ra11""}","","","","","","","","","","","","",""
"","instructions","5","77672","0.0-4.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","NA","","","[{""page_index"":0,""viewing_time"":1938.6900000972673},{""page_index"":1,""viewing_time"":5735.239999950863}]","instructions","","","","","","","","","",""
"","resize","6","104782","0.0-5.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","","","","","","","505","3.206349206349206","","","","","","",""
"","html-keyboard-response","7","105785","0.0-6.0-0.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","106119","0.0-6.0-1.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","107123","0.0-6.0-2.0","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","108124","0.0-6.0-0.1","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","108457","0.0-6.0-1.1","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","109462","0.0-6.0-2.1","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","110467","0.0-6.0-0.2","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","110798","0.0-6.0-1.2","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","111799","0.0-6.0-2.2","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","112800","0.0-6.0-0.3","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","113129","0.0-6.0-1.3","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","114132","0.0-6.0-2.3","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","115134","0.0-6.0-0.4","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","115468","0.0-6.0-1.4","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","116472","0.0-6.0-2.4","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","117476","0.0-6.0-0.5","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","117804","0.0-6.0-1.5","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","118806","0.0-6.0-2.5","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","119807","0.0-6.0-0.6","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","120138","0.0-6.0-1.6","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","121142","0.0-6.0-2.6","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","122143","0.0-6.0-0.7","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","122474","0.0-6.0-1.7","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","123478","0.0-6.0-2.7","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","124483","0.0-6.0-0.8","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","124810","0.0-6.0-1.8","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","125811","0.0-6.0-2.8","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","126815","0.0-6.0-0.9","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","127147","0.0-6.0-1.9","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","128151","0.0-6.0-2.9","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","129156","0.0-6.0-0.10","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","129489","0.0-6.0-1.10","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","130494","0.0-6.0-2.10","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","131498","0.0-6.0-0.11","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","131828","0.0-6.0-1.11","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","132829","0.0-6.0-2.11","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","133832","0.0-6.0-0.12","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","134166","0.0-6.0-1.12","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","135170","0.0-6.0-2.12","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","136174","0.0-6.0-0.13","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","136505","0.0-6.0-1.13","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","137509","0.0-6.0-2.13","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","138514","0.0-6.0-0.14","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","138847","0.0-6.0-1.14","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","139852","0.0-6.0-2.14","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","140856","0.0-6.0-0.15","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","141190","0.0-6.0-1.15","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","142193","0.0-6.0-2.15","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","143195","0.0-6.0-0.16","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","143529","0.0-6.0-1.16","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","57","144533","0.0-6.0-2.16","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide17.JPG","This is a bim:","",""
"","html-keyboard-response","58","145538","0.0-6.0-0.17","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","59","145866","0.0-6.0-1.17","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","60","146870","0.0-6.0-2.17","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide18.JPG","This is a tob:","",""
"","html-keyboard-response","61","147871","0.0-6.0-0.18","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","62","148202","0.0-6.0-1.18","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
"","html-keyboard-response","63","149206","0.0-6.0-2.18","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide19.JPG","This is a wug:","",""
"","html-keyboard-response","64","150207","0.0-6.0-0.19","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","65","150536","0.0-6.0-1.19","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","","","","","learning/Slide20.JPG","null","","","","",""
"","html-keyboard-response","66","151540","0.0-6.0-2.19","LF","osnv2y9pl1","1920","1200","en","af05ra11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide20.JPG","This is a bim:","",""
