"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2048","0.0-0.0","FL","owwgbas786","1536","864","en","ke09im08","","","","","","","","","","","","","","",""
"","survey-html-form","1","2966","0.0-1.0","FL","owwgbas786","1536","864","en","ke09im08","915.6850000144914","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","4538","0.0-3.0-0.0","FL","owwgbas786","1536","864","en","ke09im08","1567.1000000147615","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","7986","0.0-3.0-1.0","FL","owwgbas786","1536","864","en","ke09im08","3441.6500000224914","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","76226","0.0-3.0-2.0","FL","owwgbas786","1536","864","en","ke09im08","68239.0149999992","{""codeword_enter"":""ke09im08""}","","","","","","","","","","","","",""
"","instructions","5","94678","0.0-4.0","FL","owwgbas786","1536","864","en","ke09im08","NA","","","[{""page_index"":0,""viewing_time"":4087.1400000178255},{""page_index"":1,""viewing_time"":12862.104999978328}]","instructions","","","","","","","","","",""
"","resize","6","166641","0.0-5.0","FL","owwgbas786","1536","864","en","ke09im08","","","","","","","384","2.438095238095238","","","","","","",""
"","image-keyboard-response","7","166819","0.0-6.0-0.0","FL","owwgbas786","1536","864","en","ke09im08","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","167972","0.0-6.0-1.0","FL","owwgbas786","1536","864","en","ke09im08","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","168973","0.0-6.0-2.0","FL","owwgbas786","1536","864","en","ke09im08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","169150","0.0-6.0-0.1","FL","owwgbas786","1536","864","en","ke09im08","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","170303","0.0-6.0-1.1","FL","owwgbas786","1536","864","en","ke09im08","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","171304","0.0-6.0-2.1","FL","owwgbas786","1536","864","en","ke09im08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
