"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2052","0.0-0.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","","","","","","","","","","","","","","",""
"","survey-html-form","1","4952","0.0-1.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","2898","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","7568","0.0-2.0-0.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","2607","","text/information.html","","","","","","","","","","","",""
"","external-html","3","57376","0.0-2.0-1.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","49771","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","168272","0.0-2.0-2.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","110895","{""codeword_enter"":""lu04rk02""}","","","","","","","","","","","","",""
"","instructions","5","207465","0.0-4.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","NA","","","[{""page_index"":0,""viewing_time"":2224},{""page_index"":1,""viewing_time"":35465}]","instructions","","","","","","","","","",""
"","resize","6","814101","0.0-5.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","","","","","","","315","2","","","","","","",""
"","html-keyboard-response","7","815104","0.0-6.0-0.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","815432","0.0-6.0-1.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","816434","0.0-6.0-2.0","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","817435","0.0-6.0-0.1","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","817763","0.0-6.0-1.1","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","818764","0.0-6.0-2.1","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","819764","0.0-6.0-0.2","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","820091","0.0-6.0-1.2","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","821092","0.0-6.0-2.2","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","822092","0.0-6.0-0.3","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","822419","0.0-6.0-1.3","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","823419","0.0-6.0-2.3","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","824421","0.0-6.0-0.4","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","824747","0.0-6.0-1.4","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","825748","0.0-6.0-2.4","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","826749","0.0-6.0-0.5","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","827076","0.0-6.0-1.5","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","828076","0.0-6.0-2.5","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","829076","0.0-6.0-0.6","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","829404","0.0-6.0-1.6","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","830404","0.0-6.0-2.6","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","831406","0.0-6.0-0.7","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","831733","0.0-6.0-1.7","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","832734","0.0-6.0-2.7","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","833736","0.0-6.0-0.8","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","834063","0.0-6.0-1.8","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","835063","0.0-6.0-2.8","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","836064","0.0-6.0-0.9","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","836390","0.0-6.0-1.9","LF","p0ob2fsrsp","1920","1080","de","lu04rk02","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
