"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2415","0.0-0.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","","","","","","","","","","","","","","",""
"","survey-html-form","1","5464","0.0-1.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","3047.32499999227","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","98209","0.0-3.0-0.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","92706.14500000374","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","116671","0.0-3.0-1.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","18382.909999985714","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","286504","0.0-3.0-2.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","169833.27500001178","{""codeword_enter"":""nd05rt12""}","","","","","","","","","","","","",""
"","instructions","5","301556","0.0-4.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","NA","","","[{""page_index"":0,""viewing_time"":4909.604999993462},{""page_index"":1,""viewing_time"":8640.169999998761}]","instructions","","","","","","","","","",""
"","resize","6","411481","0.0-5.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","","","","","","","362","2.2984126984126982","","","","","","",""
"","html-keyboard-response","7","412488","0.0-6.0-0.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","412816","0.0-6.0-1.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","413816","0.0-6.0-2.0","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","414821","0.0-6.0-0.1","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","415150","0.0-6.0-1.1","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","416151","0.0-6.0-2.1","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","417154","0.0-6.0-0.2","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","417485","0.0-6.0-1.2","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","418490","0.0-6.0-2.2","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","419493","0.0-6.0-0.3","LF","pc9v71lhle","2048","1152","en","nd05rt12","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
