"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5210","0.0-0.0","LF","plssjv82xb","1280","800","de","Fr.11:45","","","","","","","","","","","","","","",""
"","survey-html-form","1","10740","0.0-1.0","LF","plssjv82xb","1280","800","de","Fr.11:45","5526.684999989811","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","164929","0.0-2.0-0.0","LF","plssjv82xb","1280","800","de","Fr.11:45","154176.26500001643","","text/information.html","","","","","","","","","","","",""
"","external-html","3","222424","0.0-2.0-1.0","LF","plssjv82xb","1280","800","de","Fr.11:45","57432.37500003306","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","405022","0.0-2.0-2.0","LF","plssjv82xb","1280","800","de","Fr.11:45","182604.7799999942","{""codeword_enter"":""Fr.11:45""}","","","","","","","","","","","","",""
"","instructions","5","489649","0.0-4.0","LF","plssjv82xb","1280","800","de","Fr.11:45","NA","","","[{""page_index"":0,""viewing_time"":7408.155000011902},{""page_index"":1,""viewing_time"":75714.90999998059}]","instructions","","","","","","","","","",""
"","resize","6","604044","0.0-5.0","LF","plssjv82xb","1280","800","de","Fr.11:45","","","","","","","426","2.7047619047619045","","","","","","",""
"","html-keyboard-response","7","605047","0.0-6.0-0.0","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","605376","0.0-6.0-1.0","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","606382","0.0-6.0-2.0","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","607386","0.0-6.0-0.1","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","607719","0.0-6.0-1.1","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","608722","0.0-6.0-2.1","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","609727","0.0-6.0-0.2","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","610056","0.0-6.0-1.2","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","611061","0.0-6.0-2.2","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","612063","0.0-6.0-0.3","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","612395","0.0-6.0-1.3","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","613400","0.0-6.0-2.3","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","614403","0.0-6.0-0.4","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","614736","0.0-6.0-1.4","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","615739","0.0-6.0-2.4","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","616741","0.0-6.0-0.5","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","617073","0.0-6.0-1.5","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","618075","0.0-6.0-2.5","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","619076","0.0-6.0-0.6","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","619406","0.0-6.0-1.6","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","620407","0.0-6.0-2.6","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","621410","0.0-6.0-0.7","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","621739","0.0-6.0-1.7","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","622741","0.0-6.0-2.7","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","623743","0.0-6.0-0.8","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","624073","0.0-6.0-1.8","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","625076","0.0-6.0-2.8","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","626078","0.0-6.0-0.9","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","626406","0.0-6.0-1.9","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","627408","0.0-6.0-2.9","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","628409","0.0-6.0-0.10","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","628745","0.0-6.0-1.10","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","629749","0.0-6.0-2.10","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","630754","0.0-6.0-0.11","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","631086","0.0-6.0-1.11","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","632087","0.0-6.0-2.11","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","633089","0.0-6.0-0.12","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","633418","0.0-6.0-1.12","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","634422","0.0-6.0-2.12","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","635428","0.0-6.0-0.13","LF","plssjv82xb","1280","800","de","Fr.11:45","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
