"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5168","0.0-0.0","FL","po0zyzo9vq","1440","900","de","we06ed23","","","","","","","","","","","","","","",""
"","survey-html-form","1","16423","0.0-1.0","FL","po0zyzo9vq","1440","900","de","we06ed23","11249.69999999999","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","72314","0.0-2.0-0.0","FL","po0zyzo9vq","1440","900","de","we06ed23","55767.32500000001","","text/information.html","","","","","","","","","","","",""
"","external-html","3","91959","0.0-2.0-1.0","FL","po0zyzo9vq","1440","900","de","we06ed23","19513.00999999998","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","151903","0.0-2.0-2.0","FL","po0zyzo9vq","1440","900","de","we06ed23","59941.67500000002","{""codeword_enter"":""we06ed23""}","","","","","","","","","","","","",""
"","instructions","5","174956","0.0-4.0","FL","po0zyzo9vq","1440","900","de","we06ed23","NA","","","[{""page_index"":0,""viewing_time"":5764.50999999998},{""page_index"":1,""viewing_time"":15780.75000000003}]","instructions","","","","","","","","","",""
"","resize","6","236839","0.0-5.0","FL","po0zyzo9vq","1440","900","de","we06ed23","","","","","","","430","2.7301587301587302","","","","","","",""
"","image-keyboard-response","7","237023","0.0-6.0-0.0","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","238185","0.0-6.0-1.0","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","239191","0.0-6.0-2.0","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","239373","0.0-6.0-0.1","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","240535","0.0-6.0-1.1","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","241541","0.0-6.0-2.1","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","241723","0.0-6.0-0.2","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","242882","0.0-6.0-1.2","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","243888","0.0-6.0-2.2","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","244070","0.0-6.0-0.3","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","245232","0.0-6.0-1.3","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","246238","0.0-6.0-2.3","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","246416","0.0-6.0-0.4","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","247578","0.0-6.0-1.4","FL","po0zyzo9vq","1440","900","de","we06ed23","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
