"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2591","0.0-0.0","FL","ptl3djnzo5","1280","720","de","el06nd29","","","","","","","","","","","","","","",""
"","survey-html-form","1","7451","0.0-1.0","FL","ptl3djnzo5","1280","720","de","el06nd29","4857.6950000133365","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","59034","0.0-2.0-0.0","FL","ptl3djnzo5","1280","720","de","el06nd29","51516.05999999447","","text/information.html","","","","","","","","","","","",""
"","external-html","3","82109","0.0-2.0-1.0","FL","ptl3djnzo5","1280","720","de","el06nd29","22880.209999973886","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","141871","0.0-2.0-2.0","FL","ptl3djnzo5","1280","720","de","el06nd29","59758.949999988545","{""codeword_enter"":""el06nd29""}","","","","","","","","","","","","",""
"","instructions","5","162227","0.0-4.0","FL","ptl3djnzo5","1280","720","de","el06nd29","NA","","","[{""page_index"":0,""viewing_time"":3848.760000022594},{""page_index"":1,""viewing_time"":15004.435000009835}]","instructions","","","","","","","","","",""
"","resize","6","241647","0.0-5.0","FL","ptl3djnzo5","1280","720","de","el06nd29","","","","","","","344","2.1841269841269844","","","","","","",""
"","image-keyboard-response","7","241824","0.0-6.0-0.0","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","242978","0.0-6.0-1.0","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","243980","0.0-6.0-2.0","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","244156","0.0-6.0-0.1","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","245309","0.0-6.0-1.1","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","246310","0.0-6.0-2.1","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","246488","0.0-6.0-0.2","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","247639","0.0-6.0-1.2","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","248641","0.0-6.0-2.2","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","248819","0.0-6.0-0.3","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","249972","0.0-6.0-1.3","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","250973","0.0-6.0-2.3","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","251149","0.0-6.0-0.4","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","252301","0.0-6.0-1.4","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","253302","0.0-6.0-2.4","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","253480","0.0-6.0-0.5","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","254632","0.0-6.0-1.5","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","255635","0.0-6.0-2.5","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","255812","0.0-6.0-0.6","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","256965","0.0-6.0-1.6","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","257966","0.0-6.0-2.6","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","258143","0.0-6.0-0.7","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","259295","0.0-6.0-1.7","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","260297","0.0-6.0-2.7","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","260473","0.0-6.0-0.8","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","261626","0.0-6.0-1.8","FL","ptl3djnzo5","1280","720","de","el06nd29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
