"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4541","0.0-0.0","LF","re8dk0velw","1440","900","en","ic25an08","","","","","","","","","","","","","","",""
"","survey-html-form","1","10557","0.0-1.0","LF","re8dk0velw","1440","900","en","ic25an08","6011","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","120727","0.0-3.0-0.0","LF","re8dk0velw","1440","900","en","ic25an08","114530.00000000001","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","139897","0.0-3.0-1.0","LF","re8dk0velw","1440","900","en","ic25an08","19107","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","215052","0.0-3.0-2.0","LF","re8dk0velw","1440","900","en","ic25an08","75150.99999999997","{""codeword_enter"":""ic25an08""}","","","","","","","","","","","","",""
"","instructions","5","233498","0.0-4.0","LF","re8dk0velw","1440","900","en","ic25an08","NA","","","[{""page_index"":0,""viewing_time"":3206},{""page_index"":1,""viewing_time"":13735.00000000003}]","instructions","","","","","","","","","",""
"","resize","6","316996","0.0-5.0","LF","re8dk0velw","1440","900","en","ic25an08","","","","","","","432","2.742857142857143","","","","","","",""
"","html-keyboard-response","7","318001","0.0-6.0-0.0","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","318330","0.0-6.0-1.0","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","319333","0.0-6.0-2.0","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","320336","0.0-6.0-0.1","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","320663","0.0-6.0-1.1","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","321666","0.0-6.0-2.1","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","322670","0.0-6.0-0.2","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","322998","0.0-6.0-1.2","LF","re8dk0velw","1440","900","en","ic25an08","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
