"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","8108","0.0-0.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","","","","","","","","","","","","","","",""
"","survey-html-form","1","16801","0.0-1.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","8687.619999982417","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","58465","0.0-2.0-0.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","41573.85499984957","","text/information.html","","","","","","","","","","","",""
"","external-html","3","79017","0.0-2.0-1.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","20413.76499994658","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","135369","0.0-2.0-2.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","56350.20500002429","{""codeword_enter"":""ER04AV16""}","","","","","","","","","","","","",""
"","instructions","5","152921","0.0-4.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","NA","","","[{""page_index"":0,""viewing_time"":3166.874999878928},{""page_index"":1,""viewing_time"":12879.829999990761}]","instructions","","","","","","","","","",""
"","resize","6","192409","0.0-5.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","","","","","","","349","2.2158730158730156","","","","","","",""
"","html-keyboard-response","7","193413","0.0-6.0-0.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","193759","0.0-6.0-1.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","194772","0.0-6.0-2.0","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","195776","0.0-6.0-0.1","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","196112","0.0-6.0-1.1","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","197120","0.0-6.0-2.1","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","198136","0.0-6.0-0.2","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","198473","0.0-6.0-1.2","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","199488","0.0-6.0-2.2","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","200492","0.0-6.0-0.3","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","200823","0.0-6.0-1.3","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","201835","0.0-6.0-2.3","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","202837","0.0-6.0-0.4","LF","ro2w51u9qx","1280","720","de","ER04AV16","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
