"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2703","0.0-0.0","FL","s48cjlol2y","1440","900","de","er04rt18","","","","","","","","","","","","","","",""
"","survey-html-form","1","5861","0.0-1.0","FL","s48cjlol2y","1440","900","de","er04rt18","3155.064999999013","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","14795","0.0-2.0-0.0","FL","s48cjlol2y","1440","900","de","er04rt18","8915.599999992992","","text/information.html","","","","","","","","","","","",""
"","external-html","3","26286","0.0-2.0-1.0","FL","s48cjlol2y","1440","900","de","er04rt18","11343.229999998584","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","61354","0.0-2.0-2.0","FL","s48cjlol2y","1440","900","de","er04rt18","35059.364999993704","{""codeword_enter"":""er04rt18""}","","","","","","","","","","","","",""
"","instructions","5","86456","0.0-4.0","FL","s48cjlol2y","1440","900","de","er04rt18","NA","","","[{""page_index"":0,""viewing_time"":13988.610000000335},{""page_index"":1,""viewing_time"":9608.089999994263}]","instructions","","","","","","","","","",""
"","resize","6","126942","0.0-5.0","FL","s48cjlol2y","1440","900","de","er04rt18","","","","","","","438","2.780952380952381","","","","","","",""
"","image-keyboard-response","7","127121","0.0-6.0-0.0","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","128274","0.0-6.0-1.0","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","129276","0.0-6.0-2.0","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","129457","0.0-6.0-0.1","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","130610","0.0-6.0-1.1","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","131615","0.0-6.0-2.1","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","131796","0.0-6.0-0.2","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","132950","0.0-6.0-1.2","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","133954","0.0-6.0-2.2","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","134136","0.0-6.0-0.3","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","135293","0.0-6.0-1.3","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","136297","0.0-6.0-2.3","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","136475","0.0-6.0-0.4","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","137636","0.0-6.0-1.4","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","138641","0.0-6.0-2.4","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","138819","0.0-6.0-0.5","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","139978","0.0-6.0-1.5","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","140982","0.0-6.0-2.5","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","141162","0.0-6.0-0.6","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","142324","0.0-6.0-1.6","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","143328","0.0-6.0-2.6","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","143507","0.0-6.0-0.7","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","144666","0.0-6.0-1.7","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","145670","0.0-6.0-2.7","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","145849","0.0-6.0-0.8","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","147011","0.0-6.0-1.8","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","148015","0.0-6.0-2.8","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","148199","0.0-6.0-0.9","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","149358","0.0-6.0-1.9","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","150363","0.0-6.0-2.9","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","150539","0.0-6.0-0.10","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","151698","0.0-6.0-1.10","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","152704","0.0-6.0-2.10","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","152885","0.0-6.0-0.11","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","154046","0.0-6.0-1.11","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","155050","0.0-6.0-2.11","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","155232","0.0-6.0-0.12","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","156392","0.0-6.0-1.12","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","157396","0.0-6.0-2.12","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","157577","0.0-6.0-0.13","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","158738","0.0-6.0-1.13","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","159743","0.0-6.0-2.13","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","159919","0.0-6.0-0.14","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","161076","0.0-6.0-1.14","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","162079","0.0-6.0-2.14","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","162261","0.0-6.0-0.15","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","163417","0.0-6.0-1.15","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","164420","0.0-6.0-2.15","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","164597","0.0-6.0-0.16","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","165753","0.0-6.0-1.16","FL","s48cjlol2y","1440","900","de","er04rt18","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
