"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2296","0.0-0.0","FL","sob32efsmd","1536","864","en","qi02ng28","","","","","","","","","","","","","","",""
"","survey-html-form","1","3413","0.0-1.0","FL","sob32efsmd","1536","864","en","qi02ng28","1113.1900000036694","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","5687","0.0-3.0-0.0","FL","sob32efsmd","1536","864","en","qi02ng28","2265.5000000086147","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","9579","0.0-3.0-1.0","FL","sob32efsmd","1536","864","en","qi02ng28","3881.950000009965","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","13079","0.0-3.0-2.0","FL","sob32efsmd","1536","864","en","qi02ng28","3497.6650000025984","{""codeword_enter"":""qi02ng28""}","","","","","","","","","","","","",""
"","instructions","5","16615","0.0-4.0","FL","sob32efsmd","1536","864","en","qi02ng28","NA","","","[{""page_index"":0,""viewing_time"":1037.4200000078417},{""page_index"":1,""viewing_time"":995.9899999957997}]","instructions","","","","","","","","","",""
"","resize","6","35053","0.0-5.0","FL","sob32efsmd","1536","864","en","qi02ng28","","","","","","","380","2.4126984126984126","","","","","","",""
"","image-keyboard-response","7","35247","0.0-6.0-0.0","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","36410","0.0-6.0-1.0","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","37422","0.0-6.0-2.0","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","37605","0.0-6.0-0.1","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","38776","0.0-6.0-1.1","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","39783","0.0-6.0-2.1","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","39966","0.0-6.0-0.2","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","41133","0.0-6.0-1.2","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","42148","0.0-6.0-2.2","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","42328","0.0-6.0-0.3","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","43502","0.0-6.0-1.3","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","44504","0.0-6.0-2.3","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","44684","0.0-6.0-0.4","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","45847","0.0-6.0-1.4","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","46855","0.0-6.0-2.4","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","47034","0.0-6.0-0.5","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","48206","0.0-6.0-1.5","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","49215","0.0-6.0-2.5","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","49399","0.0-6.0-0.6","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","50571","0.0-6.0-1.6","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","51583","0.0-6.0-2.6","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","51765","0.0-6.0-0.7","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","52932","0.0-6.0-1.7","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","53934","0.0-6.0-2.7","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","54118","0.0-6.0-0.8","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","55275","0.0-6.0-1.8","FL","sob32efsmd","1536","864","en","qi02ng28","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
