"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","141982","0.0-0.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","","","","","","","","","","","","","","",""
"","survey-html-form","1","149458","0.0-1.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","7468","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","256745","0.0-2.0-0.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","107182","","text/information.html","","","","","","","","","","","",""
"","external-html","3","288536","0.0-2.0-1.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","31674","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","332769","0.0-2.0-2.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","44230","{""codeword_enter"":""ke06ng04""}","","","","","","","","","","","","",""
"","instructions","5","366624","0.0-4.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","NA","","","[{""page_index"":0,""viewing_time"":17549},{""page_index"":1,""viewing_time"":14791}]","instructions","","","","","","","","","",""
"","resize","6","420183","0.0-5.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","","","","","","","340","2.1587301587301586","","","","","","",""
"","image-keyboard-response","7","420380","0.0-6.0-0.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","421559","0.0-6.0-1.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","422579","0.0-6.0-2.0","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","422759","0.0-6.0-0.1","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","423939","0.0-6.0-1.1","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","424959","0.0-6.0-2.1","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","425138","0.0-6.0-0.2","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","426319","0.0-6.0-1.2","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","427338","0.0-6.0-2.2","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","427519","0.0-6.0-0.3","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","428698","0.0-6.0-1.3","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","429719","0.0-6.0-2.3","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","429899","0.0-6.0-0.4","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","431079","0.0-6.0-1.4","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","432099","0.0-6.0-2.4","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","432279","0.0-6.0-0.5","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","433449","0.0-6.0-1.5","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","434469","0.0-6.0-2.5","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","434649","0.0-6.0-0.6","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","435829","0.0-6.0-1.6","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","436849","0.0-6.0-2.6","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","437029","0.0-6.0-0.7","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","438208","0.0-6.0-1.7","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","439229","0.0-6.0-2.7","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","439409","0.0-6.0-0.8","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","440589","0.0-6.0-1.8","FL","tbo3kx7lyg","1366","768","de","ke06ng04","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
