"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3408","0.0-0.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","","","","","","","","","","","","","","",""
"","survey-html-form","1","9841","0.0-1.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","6429","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","34208","0.0-2.0-0.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","24299","","text/information.html","","","","","","","","","","","",""
"","external-html","3","48832","0.0-2.0-1.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","14333","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","161161","0.0-2.0-2.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","112325","{""codeword_enter"":""HL06IN19""}","","","","","","","","","","","","",""
"","instructions","5","178023","0.0-4.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","NA","","","[{""page_index"":0,""viewing_time"":2505},{""page_index"":1,""viewing_time"":12839}]","instructions","","","","","","","","","",""
"","resize","6","261624","0.0-5.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","","","","","","","421","2.6730158730158733","","","","","","",""
"","image-keyboard-response","7","261816","0.0-6.0-0.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","262990","0.0-6.0-1.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","264001","0.0-6.0-2.0","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","264185","0.0-6.0-0.1","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","265347","0.0-6.0-1.1","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","266353","0.0-6.0-2.1","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","266530","0.0-6.0-0.2","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","267715","0.0-6.0-1.2","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","268728","0.0-6.0-2.2","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","268910","0.0-6.0-0.3","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","270083","0.0-6.0-1.3","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","271096","0.0-6.0-2.3","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","271288","0.0-6.0-0.4","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","272472","0.0-6.0-1.4","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","273475","0.0-6.0-2.4","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","273656","0.0-6.0-0.5","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","274840","0.0-6.0-1.5","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","275853","0.0-6.0-2.5","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","276047","0.0-6.0-0.6","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","277219","0.0-6.0-1.6","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","278222","0.0-6.0-2.6","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","278413","0.0-6.0-0.7","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","279587","0.0-6.0-1.7","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","280599","0.0-6.0-2.7","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","280792","0.0-6.0-0.8","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","281965","0.0-6.0-1.8","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","282969","0.0-6.0-2.8","FL","td2t8o9pe4","1536","864","de","HL06IN19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
