"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6800","0.0-0.0","LF","temg3es1km","1920","976","de","VA04RG03","","","","","","","","","","","","","","",""
"","survey-html-form","1","13000","0.0-1.0","LF","temg3es1km","1920","976","de","VA04RG03","6300","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","32500","0.0-2.0-0.0","LF","temg3es1km","1920","976","de","VA04RG03","19500","","text/information.html","","","","","","","","","","","",""
"","external-html","3","39500","0.0-2.0-1.0","LF","temg3es1km","1920","976","de","VA04RG03","6900","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","85600","0.0-2.0-2.0","LF","temg3es1km","1920","976","de","VA04RG03","46100","{""codeword_enter"":""VA04RG03""}","","","","","","","","","","","","",""
"","instructions","5","105300","0.0-4.0","LF","temg3es1km","1920","976","de","VA04RG03","NA","","","[{""page_index"":0,""viewing_time"":1500},{""page_index"":1,""viewing_time"":16700}]","instructions","","","","","","","","","",""
"","resize","6","131400","0.0-5.0","LF","temg3es1km","1920","976","de","VA04RG03","","","","","","","304","1.9301587301587302","","","","","","",""
"","html-keyboard-response","7","132400","0.0-6.0-0.0","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","132800","0.0-6.0-1.0","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","133800","0.0-6.0-2.0","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","134800","0.0-6.0-0.1","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","135100","0.0-6.0-1.1","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","136100","0.0-6.0-2.1","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","137200","0.0-6.0-0.2","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","137500","0.0-6.0-1.2","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","138500","0.0-6.0-2.2","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","139500","0.0-6.0-0.3","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","139900","0.0-6.0-1.3","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","140900","0.0-6.0-2.3","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","141900","0.0-6.0-0.4","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","142200","0.0-6.0-1.4","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","143300","0.0-6.0-2.4","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","144200","0.0-6.0-0.5","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","144600","0.0-6.0-1.5","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","145600","0.0-6.0-2.5","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","146600","0.0-6.0-0.6","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","147000","0.0-6.0-1.6","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","147900","0.0-6.0-2.6","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","149000","0.0-6.0-0.7","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","149400","0.0-6.0-1.7","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","150400","0.0-6.0-2.7","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","151400","0.0-6.0-0.8","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","151700","0.0-6.0-1.8","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","152700","0.0-6.0-2.8","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","153700","0.0-6.0-0.9","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","154100","0.0-6.0-1.9","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","155000","0.0-6.0-2.9","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","156100","0.0-6.0-0.10","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","156400","0.0-6.0-1.10","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","157500","0.0-6.0-2.10","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","158400","0.0-6.0-0.11","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","158800","0.0-6.0-1.11","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","159800","0.0-6.0-2.11","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","160800","0.0-6.0-0.12","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","161200","0.0-6.0-1.12","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","162100","0.0-6.0-2.12","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","163200","0.0-6.0-0.13","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","163500","0.0-6.0-1.13","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","164500","0.0-6.0-2.13","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","165500","0.0-6.0-0.14","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","165800","0.0-6.0-1.14","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","166900","0.0-6.0-2.14","LF","temg3es1km","1920","976","de","VA04RG03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
