"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","10667","0.0-0.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","","","","","","","","","","","","","","",""
"","survey-html-form","1","11837","0.0-1.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","1165.4349998570979","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","13916","0.0-3.0-0.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","2069.729999639094","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","16934","0.0-3.0-1.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","3007.3049999773502","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","19965","0.0-3.0-2.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","3027.089999988675","{""codeword_enter"":""eh06in06""}","","","","","","","","","","","","",""
"","instructions","5","24819","0.0-4.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","NA","","","[{""page_index"":0,""viewing_time"":1786.4850000478327},{""page_index"":1,""viewing_time"":1563.9500003308058}]","instructions","","","","","","","","","",""
"","resize","6","46939","0.0-5.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","","","","","","","390","2.4761904761904763","","","","","","",""
"","html-keyboard-response","7","47942","0.0-6.0-0.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","48271","0.0-6.0-1.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","49274","0.0-6.0-2.0","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","50277","0.0-6.0-0.1","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","50604","0.0-6.0-1.1","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","51607","0.0-6.0-2.1","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","52610","0.0-6.0-0.2","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","52939","0.0-6.0-1.2","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","53943","0.0-6.0-2.2","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","54945","0.0-6.0-0.3","LF","ty0rq2vzkd","1280","720","en","eh06in06","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
