"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3361","0.0-0.0","LF","u9vce3hluj","1536","864","de","ne05ar22","","","","","","","","","","","","","","",""
"","survey-html-form","1","12965","0.0-1.0","LF","u9vce3hluj","1536","864","de","ne05ar22","9601","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","186433","0.0-2.0-0.0","LF","u9vce3hluj","1536","864","de","ne05ar22","173346","","text/information.html","","","","","","","","","","","",""
"","external-html","3","216704","0.0-2.0-1.0","LF","u9vce3hluj","1536","864","de","ne05ar22","30168","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","310897","0.0-2.0-2.0","LF","u9vce3hluj","1536","864","de","ne05ar22","94183","{""codeword_enter"":""ne05ar22""}","","","","","","","","","","","","",""
"","instructions","5","402248","0.0-4.0","LF","u9vce3hluj","1536","864","de","ne05ar22","NA","","","[{""page_index"":0,""viewing_time"":49253},{""page_index"":1,""viewing_time"":40584}]","instructions","","","","","","","","","",""
"","resize","6","528680","0.0-5.0","LF","u9vce3hluj","1536","864","de","ne05ar22","","","","","","","387","2.4571428571428573","","","","","","",""
"","html-keyboard-response","7","529712","0.0-6.0-0.0","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","530062","0.0-6.0-1.0","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","531075","0.0-6.0-2.0","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","532079","0.0-6.0-0.1","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","532423","0.0-6.0-1.1","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","533439","0.0-6.0-2.1","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","534440","0.0-6.0-0.2","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","534784","0.0-6.0-1.2","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","535794","0.0-6.0-2.2","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","536799","0.0-6.0-0.3","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","537144","0.0-6.0-1.3","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","538150","0.0-6.0-2.3","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","539153","0.0-6.0-0.4","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","539499","0.0-6.0-1.4","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","540501","0.0-6.0-2.4","LF","u9vce3hluj","1536","864","de","ne05ar22","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
