"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2268","0.0-0.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","","","","","","","","","","","","","","",""
"","survey-html-form","1","3232","0.0-1.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","962.3350000001665","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","6720","0.0-3.0-0.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","3484.2099999987113","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","25695","0.0-3.0-1.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","18923.49000000104","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","125950","0.0-3.0-2.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","100253.98000000132","{""codeword_enter"":""RG06DY30""}","","","","","","","","","","","","",""
"","instructions","5","137799","0.0-4.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","NA","","","[{""page_index"":0,""viewing_time"":1882.7300000011746},{""page_index"":1,""viewing_time"":8463.894999998956}]","instructions","","","","","","","","","",""
"","resize","6","182504","0.0-5.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","","","","","","","254","1.6126984126984127","","","","","","",""
"","image-keyboard-response","7","182681","0.0-6.0-0.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","183834","0.0-6.0-1.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","184836","0.0-6.0-2.0","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","185011","0.0-6.0-0.1","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","186164","0.0-6.0-1.1","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","187166","0.0-6.0-2.1","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","187342","0.0-6.0-0.2","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","188495","0.0-6.0-1.2","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","189498","0.0-6.0-2.2","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","189674","0.0-6.0-0.3","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","190828","0.0-6.0-1.3","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","191830","0.0-6.0-2.3","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","192006","0.0-6.0-0.4","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","193159","0.0-6.0-1.4","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","194161","0.0-6.0-2.4","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","194337","0.0-6.0-0.5","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","195489","0.0-6.0-1.5","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","196490","0.0-6.0-2.5","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","196667","0.0-6.0-0.6","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","197822","0.0-6.0-1.6","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","198824","0.0-6.0-2.6","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","199000","0.0-6.0-0.7","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","200153","0.0-6.0-1.7","FL","uf6pxq0fzv","1549","872","en","RG06DY30","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
