"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","324218","0.0-0.0","LF","ulvf1nlewe","1536","864","de","ia04an16","","","","","","","","","","","","","","",""
"","survey-html-form","1","336769","0.0-1.0","LF","ulvf1nlewe","1536","864","de","ia04an16","12545.32999987714","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","435220","0.0-2.0-0.0","LF","ulvf1nlewe","1536","864","de","ia04an16","98365.49999983981","","text/information.html","","","","","","","","","","","",""
"","external-html","3","529226","0.0-2.0-1.0","LF","ulvf1nlewe","1536","864","de","ia04an16","93932.53500014544","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","638826","0.0-2.0-2.0","LF","ulvf1nlewe","1536","864","de","ia04an16","109595.0549999252","{""codeword_enter"":""ia04an16""}","","","","","","","","","","","","",""
"","instructions","5","685527","0.0-4.0","LF","ulvf1nlewe","1536","864","de","ia04an16","NA","","","[{""page_index"":0,""viewing_time"":6146.7499998398125},{""page_index"":1,""viewing_time"":39048.875000094995}]","instructions","","","","","","","","","",""
"","resize","6","770846","0.0-5.0","LF","ulvf1nlewe","1536","864","de","ia04an16","","","","","","","384","2.438095238095238","","","","","","",""
"","html-keyboard-response","7","771851","0.0-6.0-0.0","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","772190","0.0-6.0-1.0","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","773193","0.0-6.0-2.0","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","774194","0.0-6.0-0.1","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","774523","0.0-6.0-1.1","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","775524","0.0-6.0-2.1","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","776526","0.0-6.0-0.2","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","776854","0.0-6.0-1.2","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","777856","0.0-6.0-2.2","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","778858","0.0-6.0-0.3","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","779187","0.0-6.0-1.3","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","780191","0.0-6.0-2.3","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","781194","0.0-6.0-0.4","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","781522","0.0-6.0-1.4","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","782523","0.0-6.0-2.4","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","783525","0.0-6.0-0.5","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","783856","0.0-6.0-1.5","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","784860","0.0-6.0-2.5","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","785864","0.0-6.0-0.6","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","786194","0.0-6.0-1.6","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","787197","0.0-6.0-2.6","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","788201","0.0-6.0-0.7","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","788531","0.0-6.0-1.7","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","789533","0.0-6.0-2.7","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","790535","0.0-6.0-0.8","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","790864","0.0-6.0-1.8","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","791870","0.0-6.0-2.8","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","792874","0.0-6.0-0.9","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","793201","0.0-6.0-1.9","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","794206","0.0-6.0-2.9","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","795209","0.0-6.0-0.10","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","795537","0.0-6.0-1.10","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","796539","0.0-6.0-2.10","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","797540","0.0-6.0-0.11","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","797869","0.0-6.0-1.11","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","798878","0.0-6.0-2.11","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","799881","0.0-6.0-0.12","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","800210","0.0-6.0-1.12","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","801214","0.0-6.0-2.12","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","802216","0.0-6.0-0.13","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","802545","0.0-6.0-1.13","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","803547","0.0-6.0-2.13","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","804548","0.0-6.0-0.14","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","804876","0.0-6.0-1.14","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","805878","0.0-6.0-2.14","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","806881","0.0-6.0-0.15","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","807208","0.0-6.0-1.15","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","808211","0.0-6.0-2.15","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","809213","0.0-6.0-0.16","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","809541","0.0-6.0-1.16","LF","ulvf1nlewe","1536","864","de","ia04an16","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
