"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5204","0.0-0.0","LF","w1htsndwg2","1280","720","en","bo05ou27","","","","","","","","","","","","","","",""
"","survey-html-form","1","9605","0.0-1.0","LF","w1htsndwg2","1280","720","en","bo05ou27","4396.640000049956","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","108556","0.0-3.0-0.0","LF","w1htsndwg2","1280","720","en","bo05ou27","98916.53500008397","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","119952","0.0-3.0-1.0","LF","w1htsndwg2","1280","720","en","bo05ou27","11307.900000014342","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","199685","0.0-3.0-2.0","LF","w1htsndwg2","1280","720","en","bo05ou27","79725.47000006307","{""codeword_enter"":""bo05ou27""}","","","","","","","","","","","","",""
"","instructions","5","215916","0.0-4.0","LF","w1htsndwg2","1280","720","en","bo05ou27","NA","","","[{""page_index"":0,""viewing_time"":2944.634999963455},{""page_index"":1,""viewing_time"":11781.549999956042}]","instructions","","","","","","","","","",""
"","resize","6","263311","0.0-5.0","LF","w1htsndwg2","1280","720","en","bo05ou27","","","","","","","377","2.3936507936507936","","","","","","",""
"","html-keyboard-response","7","264317","0.0-6.0-0.0","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","264646","0.0-6.0-1.0","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","265651","0.0-6.0-2.0","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","266655","0.0-6.0-0.1","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","266986","0.0-6.0-1.1","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","267989","0.0-6.0-2.1","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","268992","0.0-6.0-0.2","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","269320","0.0-6.0-1.2","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","270324","0.0-6.0-2.2","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","271326","0.0-6.0-0.3","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","271653","0.0-6.0-1.3","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","272656","0.0-6.0-2.3","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","273659","0.0-6.0-0.4","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","273985","0.0-6.0-1.4","LF","w1htsndwg2","1280","720","en","bo05ou27","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
