"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2211","0.0-0.0","LF","w6nynz57oc","1536","864","en","tz03as24","","","","","","","","","","","","","","",""
"","survey-html-form","1","12839","0.0-1.0","LF","w6nynz57oc","1536","864","en","tz03as24","10626.52499997057","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","20214","0.0-3.0-0.0","LF","w6nynz57oc","1536","864","en","tz03as24","7330.235000001267","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","26238","0.0-3.0-1.0","LF","w6nynz57oc","1536","864","en","tz03as24","5992.49500001315","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","160386","0.0-3.0-2.0","LF","w6nynz57oc","1536","864","en","tz03as24","134146.94500004407","{""codeword_enter"":""tz03as24""}","","","","","","","","","","","","",""
"","instructions","5","182691","0.0-4.0","LF","w6nynz57oc","1536","864","en","tz03as24","NA","","","[{""page_index"":0,""viewing_time"":4426.29999993369},{""page_index"":1,""viewing_time"":16375.845000031404}]","instructions","","","","","","","","","",""
"","resize","6","241938","0.0-5.0","LF","w6nynz57oc","1536","864","en","tz03as24","","","","","","","386","2.450793650793651","","","","","","",""
"","html-keyboard-response","7","242945","0.0-6.0-0.0","LF","w6nynz57oc","1536","864","en","tz03as24","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","243287","0.0-6.0-1.0","LF","w6nynz57oc","1536","864","en","tz03as24","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","244296","0.0-6.0-2.0","LF","w6nynz57oc","1536","864","en","tz03as24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","245306","0.0-6.0-0.1","LF","w6nynz57oc","1536","864","en","tz03as24","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","245649","0.0-6.0-1.1","LF","w6nynz57oc","1536","864","en","tz03as24","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","246660","0.0-6.0-2.1","LF","w6nynz57oc","1536","864","en","tz03as24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","247663","0.0-6.0-0.2","LF","w6nynz57oc","1536","864","en","tz03as24","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
