"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4375","0.0-0.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","","","","","","","","","","","","","","",""
"","survey-html-form","1","11333","0.0-1.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","6953","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","157262","0.0-3.0-0.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","145837","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","183349","0.0-3.0-1.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","26035","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","251475","0.0-3.0-2.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","68124","{""codeword_enter"":""ic07ir25""}","","","","","","","","","","","","",""
"","instructions","5","264585","0.0-4.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","NA","","","[{""page_index"":0,""viewing_time"":2521},{""page_index"":1,""viewing_time"":9086}]","instructions","","","","","","","","","",""
"","resize","6","351930","0.0-5.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","","","","","","","385","2.4444444444444446","","","","","","",""
"","html-keyboard-response","7","352933","0.0-6.0-0.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","353260","0.0-6.0-1.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","354261","0.0-6.0-2.0","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","355263","0.0-6.0-0.1","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","355591","0.0-6.0-1.1","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","356592","0.0-6.0-2.1","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","357594","0.0-6.0-0.2","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","357921","0.0-6.0-1.2","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","358922","0.0-6.0-2.2","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","359924","0.0-6.0-0.3","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","360256","0.0-6.0-1.3","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","361257","0.0-6.0-2.3","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","362259","0.0-6.0-0.4","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","362588","0.0-6.0-1.4","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","363590","0.0-6.0-2.4","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","364591","0.0-6.0-0.5","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","364917","0.0-6.0-1.5","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","365919","0.0-6.0-2.5","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","366920","0.0-6.0-0.6","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","367246","0.0-6.0-1.6","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","368247","0.0-6.0-2.6","LF","wg3u6jr0nh","1536","864","en","ic07ir25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
