"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2230","0.0-0.0","LF","wrmngomh1f","1280","720","de","at08ed04","","","","","","","","","","","","","","",""
"","survey-html-form","1","9711","0.0-1.0","LF","wrmngomh1f","1280","720","de","at08ed04","7473.499999963678","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","16884","0.0-2.0-0.0","LF","wrmngomh1f","1280","720","de","at08ed04","7155.269999988377","","text/information.html","","","","","","","","","","","",""
"","external-html","3","25227","0.0-2.0-1.0","LF","wrmngomh1f","1280","720","de","at08ed04","8287.860000040382","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","100415","0.0-2.0-2.0","LF","wrmngomh1f","1280","720","de","at08ed04","75183.48000000697","{""codeword_enter"":""at08ed04""}","","","","","","","","","","","","",""
"","instructions","5","489717","0.0-4.0","LF","wrmngomh1f","1280","720","de","at08ed04","NA","","","[{""page_index"":0,""viewing_time"":360194.46999998763},{""page_index"":1,""viewing_time"":27601.630000048317}]","instructions","","","","","","","","","",""
"","resize","6","584345","0.0-5.0","LF","wrmngomh1f","1280","720","de","at08ed04","","","","","","","347","2.203174603174603","","","","","","",""
"","html-keyboard-response","7","585350","0.0-6.0-0.0","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","585679","0.0-6.0-1.0","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","586681","0.0-6.0-2.0","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","587685","0.0-6.0-0.1","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","588012","0.0-6.0-1.1","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","589015","0.0-6.0-2.1","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","590017","0.0-6.0-0.2","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","590344","0.0-6.0-1.2","LF","wrmngomh1f","1280","720","de","at08ed04","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
