"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","14169","0.0-0.0","LF","xtld2mlddm","1280","720","de","ek05an20","","","","","","","","","","","","","","",""
"","survey-html-form","1","17944","0.0-1.0","LF","xtld2mlddm","1280","720","de","ek05an20","3771.3399999774992","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","73455","0.0-2.0-0.0","LF","xtld2mlddm","1280","720","de","ek05an20","55433.00499999896","","text/information.html","","","","","","","","","","","",""
"","external-html","3","95198","0.0-2.0-1.0","LF","xtld2mlddm","1280","720","de","ek05an20","21640.804999973625","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","204885","0.0-2.0-2.0","LF","xtld2mlddm","1280","720","de","ek05an20","109681.67999992147","{""codeword_enter"":""ek05an20""}","","","","","","","","","","","","",""
"","instructions","5","223253","0.0-4.0","LF","xtld2mlddm","1280","720","de","ek05an20","NA","","","[{""page_index"":0,""viewing_time"":2587.904999963939},{""page_index"":1,""viewing_time"":14271.730000036769}]","instructions","","","","","","","","","",""
"","resize","6","288844","0.0-5.0","LF","xtld2mlddm","1280","720","de","ek05an20","","","","","","","320","2.0317460317460316","","","","","","",""
"","html-keyboard-response","7","289847","0.0-6.0-0.0","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","290178","0.0-6.0-1.0","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","291180","0.0-6.0-2.0","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","292181","0.0-6.0-0.1","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","292507","0.0-6.0-1.1","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","293515","0.0-6.0-2.1","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","294527","0.0-6.0-0.2","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","294866","0.0-6.0-1.2","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","295878","0.0-6.0-2.2","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","296890","0.0-6.0-0.3","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","297230","0.0-6.0-1.3","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","298241","0.0-6.0-2.3","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","299253","0.0-6.0-0.4","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","299590","0.0-6.0-1.4","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","300601","0.0-6.0-2.4","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","301612","0.0-6.0-0.5","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","301942","0.0-6.0-1.5","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","302948","0.0-6.0-2.5","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","303962","0.0-6.0-0.6","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","304292","0.0-6.0-1.6","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","305296","0.0-6.0-2.6","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","306308","0.0-6.0-0.7","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","306639","0.0-6.0-1.7","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","307642","0.0-6.0-2.7","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","308655","0.0-6.0-0.8","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","308994","0.0-6.0-1.8","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","310008","0.0-6.0-2.8","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","311020","0.0-6.0-0.9","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","311348","0.0-6.0-1.9","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","312354","0.0-6.0-2.9","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","313366","0.0-6.0-0.10","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","313696","0.0-6.0-1.10","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","314701","0.0-6.0-2.10","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","315712","0.0-6.0-0.11","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","316039","0.0-6.0-1.11","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","317047","0.0-6.0-2.11","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","318060","0.0-6.0-0.12","LF","xtld2mlddm","1280","720","de","ek05an20","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
