"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6581","0.0-0.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","","","","","","","","","","","","","","",""
"","survey-html-form","1","15712","0.0-1.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","9129.810000013094","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","236541","0.0-2.0-0.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","220740.5649999855","","text/information.html","","","","","","","","","","","",""
"","external-html","3","256734","0.0-2.0-1.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","20123.590000002878","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","366135","0.0-2.0-2.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","109404.63499998441","{""codeword_enter"":""dt06as01""}","","","","","","","","","","","","",""
"","instructions","5","384653","0.0-4.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","NA","","","[{""page_index"":0,""viewing_time"":2916.7250000173226},{""page_index"":1,""viewing_time"":14096.105000004172}]","instructions","","","","","","","","","",""
"","resize","6","413372","0.0-5.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","","","","","","","104","0.6603174603174603","","","","","","",""
"","html-keyboard-response","7","414379","0.0-6.0-0.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","414710","0.0-6.0-1.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","415712","0.0-6.0-2.0","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","416715","0.0-6.0-0.1","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","417045","0.0-6.0-1.1","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","418048","0.0-6.0-2.1","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","419051","0.0-6.0-0.2","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","419381","0.0-6.0-1.2","LF","yjk8vlfumr","2560","1080","de","dt06as01","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
