"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2267","0.0-0.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","","","","","","","","","","","","","","",""
"","survey-html-form","1","3004","0.0-1.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","730.574999935925","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","5789","0.0-3.0-0.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","2759.3099999940023","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","17310","0.0-3.0-1.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","11499.610000057146","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","42036","0.0-3.0-2.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","24718.355000019073","{""codeword_enter"":""ya08ya01""}","","","","","","","","","","","","",""
"","instructions","5","45674","0.0-4.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","NA","","","[{""page_index"":0,""viewing_time"":1128.444999922067},{""page_index"":1,""viewing_time"":1005.5649999994785}]","instructions","","","","","","","","","",""
"","resize","6","54703","0.0-5.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","","","","","","","360","2.2857142857142856","","","","","","",""
"","html-keyboard-response","7","55710","0.0-6.0-0.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","56048","0.0-6.0-1.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","57050","0.0-6.0-2.0","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","58052","0.0-6.0-0.1","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","58381","0.0-6.0-1.1","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","59383","0.0-6.0-2.1","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","60386","0.0-6.0-0.2","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","60714","0.0-6.0-1.2","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","61719","0.0-6.0-2.2","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","62722","0.0-6.0-0.3","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","63050","0.0-6.0-1.3","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","64052","0.0-6.0-2.3","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","65060","0.0-6.0-0.4","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","65389","0.0-6.0-1.4","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","66392","0.0-6.0-2.4","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","67395","0.0-6.0-0.5","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","67723","0.0-6.0-1.5","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","68727","0.0-6.0-2.5","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","69731","0.0-6.0-0.6","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","70060","0.0-6.0-1.6","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","71062","0.0-6.0-2.6","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","72065","0.0-6.0-0.7","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","72409","0.0-6.0-1.7","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","73411","0.0-6.0-2.7","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","74414","0.0-6.0-0.8","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","74743","0.0-6.0-1.8","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","75749","0.0-6.0-2.8","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","76753","0.0-6.0-0.9","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","77082","0.0-6.0-1.9","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","78086","0.0-6.0-2.9","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","79091","0.0-6.0-0.10","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","79421","0.0-6.0-1.10","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","80423","0.0-6.0-2.10","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","81425","0.0-6.0-0.11","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","81754","0.0-6.0-1.11","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","82757","0.0-6.0-2.11","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","83761","0.0-6.0-0.12","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","84089","0.0-6.0-1.12","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","85091","0.0-6.0-2.12","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","86097","0.0-6.0-0.13","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","86426","0.0-6.0-1.13","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","87428","0.0-6.0-2.13","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","88430","0.0-6.0-0.14","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","88760","0.0-6.0-1.14","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","89763","0.0-6.0-2.14","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","90766","0.0-6.0-0.15","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","91096","0.0-6.0-1.15","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","92100","0.0-6.0-2.15","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","93103","0.0-6.0-0.16","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","93433","0.0-6.0-1.16","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","57","94436","0.0-6.0-2.16","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide17.JPG","This is a bim:","",""
"","html-keyboard-response","58","95440","0.0-6.0-0.17","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","59","95768","0.0-6.0-1.17","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","60","96770","0.0-6.0-2.17","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide18.JPG","This is a tob:","",""
"","html-keyboard-response","61","97773","0.0-6.0-0.18","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","62","98101","0.0-6.0-1.18","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
"","html-keyboard-response","63","99104","0.0-6.0-2.18","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide19.JPG","This is a wug:","",""
"","html-keyboard-response","64","100106","0.0-6.0-0.19","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","65","100434","0.0-6.0-1.19","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide20.JPG","null","","","","",""
"","html-keyboard-response","66","101436","0.0-6.0-2.19","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide20.JPG","This is a bim:","",""
"","html-keyboard-response","67","102439","0.0-6.0-0.20","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","68","102767","0.0-6.0-1.20","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide21.JPG","null","","","","",""
"","html-keyboard-response","69","103774","0.0-6.0-2.20","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide21.JPG","This is a dep:","",""
"","html-keyboard-response","70","104776","0.0-6.0-0.21","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","71","105105","0.0-6.0-1.21","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide22.JPG","null","","","","",""
"","html-keyboard-response","72","106107","0.0-6.0-2.21","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide22.JPG","This is a bim:","",""
"","html-keyboard-response","73","107115","0.0-6.0-0.22","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","74","107443","0.0-6.0-1.22","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide23.JPG","null","","","","",""
"","html-keyboard-response","75","108445","0.0-6.0-2.22","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide23.JPG","This is a tob:","",""
"","html-keyboard-response","76","109448","0.0-6.0-0.23","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","77","109776","0.0-6.0-1.23","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide24.JPG","null","","","","",""
"","html-keyboard-response","78","110778","0.0-6.0-2.23","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide24.JPG","This is a wug:","",""
"","html-keyboard-response","79","111782","0.0-6.0-0.24","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","80","112114","0.0-6.0-1.24","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide25.JPG","null","","","","",""
"","html-keyboard-response","81","113117","0.0-6.0-2.24","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide25.JPG","This is a dep:","",""
"","html-keyboard-response","82","114119","0.0-6.0-0.25","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","83","114453","0.0-6.0-1.25","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide26.JPG","null","","","","",""
"","html-keyboard-response","84","115455","0.0-6.0-2.25","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide26.JPG","This is a wug:","",""
"","html-keyboard-response","85","116458","0.0-6.0-0.26","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","86","116787","0.0-6.0-1.26","LF","yzwvuo5jcw","1280","720","en","ya08ya01","null","","","","","","","","learning/Slide27.JPG","null","","","","",""
