"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4817","0.0-0.0","LF","zgrkqwru88","1440","900","en","as04co18","","","","","","","","","","","","","","",""
"","survey-html-form","1","10976","0.0-1.0","LF","zgrkqwru88","1440","900","en","as04co18","6155.240000050981","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","104555","0.0-3.0-0.0","LF","zgrkqwru88","1440","900","en","as04co18","93512.35999999335","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","121452","0.0-3.0-1.0","LF","zgrkqwru88","1440","900","en","as04co18","16833.174999977928","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","268029","0.0-3.0-2.0","LF","zgrkqwru88","1440","900","en","as04co18","146575.3900000127","{""codeword_enter"":""as04co18""}","","","","","","","","","","","","",""
"","instructions","5","284273","0.0-4.0","LF","zgrkqwru88","1440","900","en","as04co18","NA","","","[{""page_index"":0,""viewing_time"":3564.31500002509},{""page_index"":1,""viewing_time"":11173.729999980424}]","instructions","","","","","","","","","",""
"","resize","6","337625","0.0-5.0","LF","zgrkqwru88","1440","900","en","as04co18","","","","","","","457","2.901587301587302","","","","","","",""
"","html-keyboard-response","7","338628","0.0-6.0-0.0","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","338961","0.0-6.0-1.0","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","339964","0.0-6.0-2.0","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","340966","0.0-6.0-0.1","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","341299","0.0-6.0-1.1","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","342303","0.0-6.0-2.1","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","343308","0.0-6.0-0.2","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","343636","0.0-6.0-1.2","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","344637","0.0-6.0-2.2","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","345640","0.0-6.0-0.3","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","345973","0.0-6.0-1.3","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","346977","0.0-6.0-2.3","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","347983","0.0-6.0-0.4","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","348316","0.0-6.0-1.4","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","349317","0.0-6.0-2.4","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","350321","0.0-6.0-0.5","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","350650","0.0-6.0-1.5","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","351654","0.0-6.0-2.5","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","352660","0.0-6.0-0.6","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","352991","0.0-6.0-1.6","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","353996","0.0-6.0-2.6","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","355000","0.0-6.0-0.7","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","355333","0.0-6.0-1.7","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","356338","0.0-6.0-2.7","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","357339","0.0-6.0-0.8","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","357667","0.0-6.0-1.8","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","358668","0.0-6.0-2.8","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","359672","0.0-6.0-0.9","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","360000","0.0-6.0-1.9","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","361001","0.0-6.0-2.9","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","362006","0.0-6.0-0.10","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","362334","0.0-6.0-1.10","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","363336","0.0-6.0-2.10","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","364340","0.0-6.0-0.11","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","364667","0.0-6.0-1.11","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","365669","0.0-6.0-2.11","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","366671","0.0-6.0-0.12","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","367004","0.0-6.0-1.12","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","368009","0.0-6.0-2.12","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","369013","0.0-6.0-0.13","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","369344","0.0-6.0-1.13","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","370347","0.0-6.0-2.13","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","371351","0.0-6.0-0.14","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","371684","0.0-6.0-1.14","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","372689","0.0-6.0-2.14","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","373692","0.0-6.0-0.15","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","374023","0.0-6.0-1.15","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","375027","0.0-6.0-2.15","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","376031","0.0-6.0-0.16","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","376362","0.0-6.0-1.16","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","57","377368","0.0-6.0-2.16","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide17.JPG","This is a bim:","",""
"","html-keyboard-response","58","378371","0.0-6.0-0.17","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","59","378701","0.0-6.0-1.17","LF","zgrkqwru88","1440","900","en","as04co18","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
