"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6032","0.0-0.0","FL","zm0cozjsh6","1440","900","en","al05rt16","","","","","","","","","","","","","","",""
"","survey-html-form","1","11820","0.0-1.0","FL","zm0cozjsh6","1440","900","en","al05rt16","5783.5699999995995","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","26888","0.0-3.0-0.0","FL","zm0cozjsh6","1440","900","en","al05rt16","15006.524999975227","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","31586","0.0-3.0-1.0","FL","zm0cozjsh6","1440","900","en","al05rt16","4640.030000009574","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","69089","0.0-3.0-2.0","FL","zm0cozjsh6","1440","900","en","al05rt16","37494.61500000325","{""codeword_enter"":""al05rt16""}","","","","","","","","","","","","",""
"","instructions","5","84225","0.0-4.0","FL","zm0cozjsh6","1440","900","en","al05rt16","NA","","","[{""page_index"":0,""viewing_time"":2127.4149999953806},{""page_index"":1,""viewing_time"":11502.500000002328}]","instructions","","","","","","","","","",""
"","resize","6","151475","0.0-5.0","FL","zm0cozjsh6","1440","900","en","al05rt16","","","","","","","430","2.7301587301587302","","","","","","",""
"","image-keyboard-response","7","151656","0.0-6.0-0.0","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","152811","0.0-6.0-1.0","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","153815","0.0-6.0-2.0","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","153995","0.0-6.0-0.1","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","155150","0.0-6.0-1.1","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","156155","0.0-6.0-2.1","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","156334","0.0-6.0-0.2","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","157486","0.0-6.0-1.2","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","158491","0.0-6.0-2.2","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","158670","0.0-6.0-0.3","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","159827","0.0-6.0-1.3","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","160832","0.0-6.0-2.3","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","161013","0.0-6.0-0.4","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","162165","0.0-6.0-1.4","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","163170","0.0-6.0-2.4","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","163347","0.0-6.0-0.5","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","164501","0.0-6.0-1.5","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","165502","0.0-6.0-2.5","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","165681","0.0-6.0-0.6","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","166836","0.0-6.0-1.6","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","167840","0.0-6.0-2.6","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","168020","0.0-6.0-0.7","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","169175","0.0-6.0-1.7","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","170180","0.0-6.0-2.7","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","170360","0.0-6.0-0.8","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","171513","0.0-6.0-1.8","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","172518","0.0-6.0-2.8","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","172699","0.0-6.0-0.9","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","173854","0.0-6.0-1.9","FL","zm0cozjsh6","1440","900","en","al05rt16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
