"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","32741","0.0-0.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","","","","","","","","","","","","","","",""
"","survey-html-form","1","40367","0.0-1.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","7623","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","76966","0.0-2.0-0.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","36511","","text/information.html","","","","","","","","","","","",""
"","external-html","3","92039","0.0-2.0-1.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","15000","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","176327","0.0-2.0-2.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","84283","{""codeword_enter"":""fa05ea13""}","","","","","","","","","","","","",""
"","instructions","5","190270","0.0-4.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","NA","","","[{""page_index"":0,""viewing_time"":3722},{""page_index"":1,""viewing_time"":8717}]","instructions","","","","","","","","","",""
"","resize","6","227539","0.0-5.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","","","","","","","430","2.7301587301587302","","","","","","",""
"","image-keyboard-response","7","227719","0.0-6.0-0.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","228880","0.0-6.0-1.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","229884","0.0-6.0-2.0","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","230065","0.0-6.0-0.1","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","231218","0.0-6.0-1.1","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","232223","0.0-6.0-2.1","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","232404","0.0-6.0-0.2","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","233558","0.0-6.0-1.2","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","234559","0.0-6.0-2.2","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","234737","0.0-6.0-0.3","FL","zq7k8hkxsq","1440","900","de","fa05ea13","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
