"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5841","0.0-0.0","LF","zt9mew4cym","1440","900","de","el06ng23","","","","","","","","","","","","","","",""
"","survey-html-form","1","16964","0.0-1.0","LF","zt9mew4cym","1440","900","de","el06ng23","11118","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","95887","0.0-2.0-0.0","LF","zt9mew4cym","1440","900","de","el06ng23","78868","","text/information.html","","","","","","","","","","","",""
"","external-html","3","119275","0.0-2.0-1.0","LF","zt9mew4cym","1440","900","de","el06ng23","23309","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","209595","0.0-2.0-2.0","LF","zt9mew4cym","1440","900","de","el06ng23","90315","{""codeword_enter"":""el06ng23""}","","","","","","","","","","","","",""
"","instructions","5","236285","0.0-4.0","LF","zt9mew4cym","1440","900","de","el06ng23","NA","","","[{""page_index"":0,""viewing_time"":5286},{""page_index"":1,""viewing_time"":19900}]","instructions","","","","","","","","","",""
"","resize","6","304790","0.0-5.0","LF","zt9mew4cym","1440","900","de","el06ng23","","","","","","","428","2.7174603174603176","","","","","","",""
"","html-keyboard-response","7","305794","0.0-6.0-0.0","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","306125","0.0-6.0-1.0","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","307128","0.0-6.0-2.0","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","308130","0.0-6.0-0.1","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","308458","0.0-6.0-1.1","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","309460","0.0-6.0-2.1","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","310460","0.0-6.0-0.2","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","310791","0.0-6.0-1.2","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","311793","0.0-6.0-2.2","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","312795","0.0-6.0-0.3","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","313123","0.0-6.0-1.3","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","314126","0.0-6.0-2.3","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","315126","0.0-6.0-0.4","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","315457","0.0-6.0-1.4","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","316458","0.0-6.0-2.4","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","317463","0.0-6.0-0.5","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","317791","0.0-6.0-1.5","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","318793","0.0-6.0-2.5","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","319796","0.0-6.0-0.6","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","320128","0.0-6.0-1.6","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","321129","0.0-6.0-2.6","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","322133","0.0-6.0-0.7","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","322464","0.0-6.0-1.7","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","323466","0.0-6.0-2.7","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","324470","0.0-6.0-0.8","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","324798","0.0-6.0-1.8","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","325800","0.0-6.0-2.8","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","326801","0.0-6.0-0.9","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","327129","0.0-6.0-1.9","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","328130","0.0-6.0-2.9","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","329132","0.0-6.0-0.10","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","329463","0.0-6.0-1.10","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","330464","0.0-6.0-2.10","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","331465","0.0-6.0-0.11","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","331799","0.0-6.0-1.11","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","332800","0.0-6.0-2.11","LF","zt9mew4cym","1440","900","de","el06ng23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
