fribbleID,subjID,language,plugin,codeword,rt,task,resp,learning,label,trialType,frequency,fribblePresented,trial,labelPresented,correctCategory,correctFrequency,correctLabel,body
1025,19l91w0hqd,en,image-slider-response,NE07SE16,2751,conJudg,24,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,0e2jb9zq47,en,image-slider-response,UAJIIN24,4496,conJudg,-45,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,td2t8o9pe4,de,image-slider-response,HL06IN19,2367,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,1x4fxyrk6x,en,image-slider-response,de05nk26,1112,conJudg,0,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,mn35br66m1,de,image-slider-response,IS05RY26,3596,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,490hj15f5l,en,image-slider-response,el05rd15,2284,conJudg,-39,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,9hgljjcs6a,de,image-slider-response,ER06RD19,2465,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,eyn4ys1wrs,en,image-slider-response,va07il15,3519,conJudg,-79,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ulvf1nlewe,de,image-slider-response,ia04an16,3932,conJudg,-53,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,forzsbtguz,en,image-slider-response,ng06an28,4672,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,9dovdyxkak,de,image-slider-response,er09us26,2409,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,mj8qhhm23d,de,image-slider-response,va08im28,2514,conJudg,77,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,5jpxbwcfh4,de,image-slider-response,el06as26,2214,conJudg,58,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,f64ncrzxu3,en,image-slider-response,NS08US09,NA,conJudg,NA,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,nlsem5jp13,de,image-slider-response,pf06nd18,6276,conJudg,-93,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,75e8k8531m,en,image-slider-response,tz05yu04,NA,conJudg,NA,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,0ypu8hv44k,de,image-slider-response,en06oi05,2297,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,8vhxe9t9g0,en,image-slider-response,ke05us31,2765,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,wg3u6jr0nh,en,image-slider-response,ic07ir25,3172,conJudg,-71,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ptl3djnzo5,de,image-slider-response,el06nd29,4020,conJudg,28,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,wmv7c0r6c5,en,image-slider-response,va04ik29,3886,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,z15jvz5weu,en,image-slider-response,gh09er15,3395,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,wrmngomh1f,de,image-slider-response,at08ed04,5089,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,sob32efsmd,en,image-slider-response,qi02ng28,1854,conJudg,28,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,yjk8vlfumr,de,image-slider-response,dt06as01,2484,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,kk4adj1drx,de,image-slider-response,en05es25,4356,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,yzwvuo5jcw,en,image-slider-response,ya08ya01,3758,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,40757xtlgp,en,image-slider-response,va05er24,3429,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,3yxnw7xt1g,de,image-slider-response,cz06an18,4402,conJudg,-37,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,csfpvftfnx,de,image-slider-response,ko05or02,6005,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,et4cc4zeqy,de,image-slider-response,er08an21,2581,conJudg,80,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,temg3es1km,de,image-slider-response,VA04RG03,2600,conJudg,-63,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ty0rq2vzkd,en,image-slider-response,eh06in06,4155,conJudg,-74,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,408x5p8cy7,en,image-slider-response,va08ar03,2756,conJudg,-95,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,g0qt0dz9h6,en,image-slider-response,LD05ND12,3790,conJudg,-15,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,nbzeelogn1,en,image-slider-response,AL05AR15,2855,conJudg,65,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,kbwv2blq88,de,image-slider-response,el09rd31,1562,conJudg,0,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,pc9v71lhle,en,image-slider-response,nd05rt12,5612,conJudg,-43,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,kpfcu6m48v,en,image-slider-response,in07er09,4754,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,uf6pxq0fzv,en,image-slider-response,RG06DY30,4823,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,u9vce3hluj,de,image-slider-response,ne05ar22,6863,conJudg,66,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,7jmcv9rt87,en,image-slider-response,nd05ff22,3447,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,cdnsgh8l6s,de,image-slider-response,RL05OR28,2720,conJudg,29,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,khlkyd4sl5,en,image-slider-response,en04az24,2981,conJudg,-70,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,4xjqd36lab,en,image-slider-response,un08ta23,2946,conJudg,0,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,dqehnfb6j7,en,image-slider-response,er08em17,1611,conJudg,0,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,7acm8wjh3r,en,image-slider-response,na09ay17,2708,conJudg,-56,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,et8whud6pz,en,image-slider-response,er07el13,2983,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,43qjs0ts63,en,image-slider-response,la07as21,2442,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,atap00wwqb,en,image-slider-response,ft08en25,3909,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,5baebfz1ea,en,image-slider-response,Ya05an03,6223,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,gjq6le86au,en,image-slider-response,NG09US28,3552,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,s48cjlol2y,de,image-slider-response,er04rt18,4562,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,zm0cozjsh6,en,image-slider-response,al05rt16,3846,conJudg,-18,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,99v3ayruzp,de,image-slider-response,ki04as07,1948,conJudg,30,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,fnul5v7u0c,en,image-slider-response,ng06rd26,2442,conJudg,49,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,1nbemfkd3a,de,image-slider-response,KE05KO08,2522,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,asumwjv4nj,en,image-slider-response,ne06je04,4981,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,7jnze5y1xt,de,image-slider-response,er07rg24,1547,conJudg,-57,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,p0ob2fsrsp,de,image-slider-response,lu04rk02,3852,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,dy38rvvnxc,de,image-slider-response,rf07er10,3874,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,owwgbas786,en,image-slider-response,ke09im08,2162,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,22elk0nh1m,de,image-slider-response,er08rd25,3351,conJudg,-90,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,zt9mew4cym,de,image-slider-response,el06ng23,2865,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
