resp,subjID,language,plugin,codeword,rt,task,learning,fribbleID,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
1,408x5p8cy7,en,html-button-response,va08ar03,2595.64999997383,labelPictures,LF,1_2_3_7,bim,10375,3,high,dep,blue,control,0
1,yjk8vlfumr,de,html-button-response,dt06as01,2365.1950000203215,labelPictures,LF,1_2_3_7,bim,10375,3,high,dep,blue,control,0
1,7jnze5y1xt,de,html-button-response,er07rg24,1775,labelPictures,FL,1_2_3_7,bim,10375,3,high,dep,blue,control,0
10,0ypu8hv44k,de,html-button-response,en06oi05,2080.415000033099,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,temg3es1km,de,html-button-response,VA04RG03,1000,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,9hgljjcs6a,de,html-button-response,ER06RD19,1835,labelPictures,FL,14_10_6_12,bim,100275,2,high,wug,purple,control,0
10,zq7k8hkxsq,de,html-button-response,fa05ea13,1680,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,a7hqcrbor2,de,html-button-response,ll08ar27,1847,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,g8yr0b9yda,en,html-button-response,er07im06,1187.1850000461563,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,9kjfelsstb,en,html-button-response,er09ch20,1313,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,490hj15f5l,en,html-button-response,el05rd15,1820.2199999941513,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,kpfcu6m48v,en,html-button-response,in07er09,2769.9349999893457,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,et8whud6pz,en,html-button-response,er07el13,2353.470000089146,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,g8yr0b9yda,en,html-button-response,er07im06,1446.3199999881908,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,dqehnfb6j7,en,html-button-response,er08em17,1259.7250000108033,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,75e8k8531m,en,html-button-response,tz05yu04,1431,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,z15jvz5weu,en,html-button-response,gh09er15,1889.7699999997858,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,yzwvuo5jcw,en,html-button-response,ya08ya01,1802.4849999928847,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,7ksbngduvy,en,html-button-response,ng09ei12,1611,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,re8dk0velw,en,html-button-response,ic25an08,3189,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,uf6pxq0fzv,en,html-button-response,RG06DY30,1015.510000001057,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,nlsem5jp13,de,html-button-response,pf06nd18,1252.8700000839308,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,dqehnfb6j7,en,html-button-response,er08em17,767.264999973122,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,1x4fxyrk6x,en,html-button-response,de05nk26,1850,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,ro2w51u9qx,de,html-button-response,ER04AV16,2453.9099999237806,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,sob32efsmd,en,html-button-response,qi02ng28,2510.934999998426,labelPictures,FL,14_10_6_12,bim,100275,2,high,wug,purple,control,0
10,et4cc4zeqy,de,html-button-response,er08an21,1464.7000000113621,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,osnv2y9pl1,en,html-button-response,af05ra11,1182.414999930188,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,wg3u6jr0nh,en,html-button-response,ic07ir25,1194,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,nbzeelogn1,en,html-button-response,AL05AR15,1951.1099997907877,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,zq7k8hkxsq,de,html-button-response,fa05ea13,2016,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,sob32efsmd,en,html-button-response,qi02ng28,1671.5649999969173,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,9hgljjcs6a,de,html-button-response,ER06RD19,1261,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,99v3ayruzp,de,html-button-response,ki04as07,1559.624999994412,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,yjk8vlfumr,de,html-button-response,dt06as01,962.8000000084285,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,9kjfelsstb,en,html-button-response,er09ch20,1286,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,re8dk0velw,en,html-button-response,ic25an08,1445,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,gjq6le86au,en,html-button-response,NG09US28,1895.1149999629706,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,emk1tsfc0c,en,html-button-response,dt05as10,2030,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,et8whud6pz,en,html-button-response,er07el13,1465.764999971725,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,a7hqcrbor2,de,html-button-response,ll08ar27,1422,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,7ksbngduvy,en,html-button-response,ng09ei12,2427,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,408x5p8cy7,en,html-button-response,va08ar03,1836.8100000079721,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,7908vbmsu0,en,html-button-response,en19ao08,1954.254999756813,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,19l91w0hqd,en,html-button-response,NE07SE16,2551.29999993369,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,et4cc4zeqy,de,html-button-response,er08an21,1455.4399999910966,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
