resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,acc,type_of_resp,expeType
10225,1,dep,2AFC - 4 pictures,3467073,43,tob,low,1792.55999999988,0,mismatch-type1,pilot1
10225,1,dep,2AFC - 4 pictures,3473048,43,tob,low,1653.20499999871,0,mismatch-type1,pilot1
10225,1,dep,2AFC - 4 pictures,3475213,43,tob,low,2342.82499994151,0,mismatch-type1,pilot1
10225,1,dep,2AFC - 4 pictures,3481518,43,tob,low,1989.88500001724,0,mismatch-type1,pilot1
10625,1,dep,2AFC - 4 pictures,3394859,53,tob,low,1924.44999999134,0,mismatch-type1,pilot1
10625,1,dep,2AFC - 4 pictures,3467073,53,tob,low,1365.71499999991,0,mismatch-type1,pilot1
10625,1,dep,2AFC - 4 pictures,3473048,53,tob,low,1306.6999999992,0,mismatch-type1,pilot1
10625,1,dep,2AFC - 4 pictures,3430836,53,tob,low,1842.08999999988,0,mismatch-type1,pilot1
10675,1,dep,2AFC - 4 pictures,3491839,32,wug,high,1547.53999999957,0,mismatch-type1,pilot1
10725,1,dep,2AFC - 4 pictures,3491839,7,dep,low,1578.41499999995,1,match,pilot1
10725,1,dep,2AFC - 4 pictures,3473048,19,tob,low,2779.14500000043,0,mismatch-type1,pilot1
10725,1,dep,2AFC - 4 pictures,3481518,7,dep,low,2375.79499999993,1,match,pilot1
10725,1,dep,2AFC - 4 pictures,3424063,7,dep,low,2631,1,match,pilot1
10725,1,dep,2AFC - 4 pictures,3421453,7,dep,low,2282.82000000036,1,match,pilot1
10725,1,dep,2AFC - 4 pictures,3475213,19,tob,low,2821.77500007674,0,mismatch-type1,pilot1
10825,1,dep,2AFC - 4 pictures,3394859,54,dep,low,2401.86000001268,1,match,pilot1
10825,1,dep,2AFC - 4 pictures,3421453,54,dep,low,1267.52499999566,1,match,pilot1
10825,1,dep,2AFC - 4 pictures,3475213,54,dep,low,2467.24000014365,1,match,pilot1
10825,1,dep,2AFC - 4 pictures,3424063,54,dep,low,1821,1,match,pilot1
10825,1,dep,2AFC - 4 pictures,3481518,54,dep,low,2341.13499999512,1,match,pilot1
10825,1,dep,2AFC - 4 pictures,3481518,22,wug,low,1842.54500002135,0,mismatch-type2,pilot1
10875,1,dep,2AFC - 4 pictures,3430836,6,dep,high,2733.50499999992,1,match,pilot1
10875,1,dep,2AFC - 4 pictures,3424063,6,dep,high,1182,1,match,pilot1
10875,1,dep,2AFC - 4 pictures,3421453,6,dep,high,2881.32500000211,1,match,pilot1
10875,1,dep,2AFC - 4 pictures,3467073,6,dep,high,2491.03000000013,1,match,pilot1
10875,1,dep,2AFC - 4 pictures,3394859,6,dep,high,2620.62999999034,1,match,pilot1
10875,1,dep,2AFC - 4 pictures,3475213,6,dep,high,1669.51999999583,1,match,pilot1
10875,1,dep,2AFC - 4 pictures,3473048,6,dep,high,2207.75000000049,1,match,pilot1
10925,1,dep,2AFC - 4 pictures,3430836,38,dep,low,2851.03000000003,1,match,pilot1
10925,1,dep,2AFC - 4 pictures,3421453,38,dep,low,2234.70000000088,1,match,pilot1
10925,1,dep,2AFC - 4 pictures,3467073,38,dep,low,2533.38499999972,1,match,pilot1
10925,1,dep,2AFC - 4 pictures,3481518,38,dep,low,2614.15499998839,1,match,pilot1
10925,1,dep,2AFC - 4 pictures,3424063,38,dep,low,2656,1,match,pilot1
10975,1,dep,2AFC - 4 pictures,3467073,14,bim,control_high,2965.65999999984,0,errorControl,pilot1
11075,1,dep,2AFC - 4 pictures,3491839,13,wug,high,1642.93999999973,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3475213,11,dep,low,2513.73000000603,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3481518,24,wug,low,2532.17500000028,0,mismatch-type2,pilot1
11125,1,dep,2AFC - 4 pictures,3394859,11,dep,low,3341.8300000194,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3421453,11,dep,low,1925.66499999521,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3421453,34,dep,low,1446.93499999994,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3481518,34,dep,low,2097.59499999927,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3491839,34,dep,low,1554.90499999997,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3424063,11,dep,low,2918,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3424063,34,dep,low,2976,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3491839,52,tob,low,1050.15499999991,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3473048,52,tob,low,1393.37499999965,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3467073,52,tob,low,1225.03500000038,0,mismatch-type1,pilot1
11275,1,dep,2AFC - 4 pictures,3491839,8,wug,high,2203.35499999965,0,mismatch-type1,pilot1
11375,1,dep,2AFC - 4 pictures,3473048,15,dep,high,3012.19500000024,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3394859,15,dep,high,3099.78000001865,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3491839,15,dep,high,2897.11499999976,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3481518,15,dep,high,1550.11000001105,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3424063,15,dep,high,2121,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3475213,15,dep,high,2678.10499994084,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3430836,56,dep,low,3178.61500000005,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3424063,56,dep,low,2958,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,56,dep,low,1245.99999999919,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3394859,56,dep,low,3188.48499999149,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3424063,48,dep,low,2762,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,48,dep,low,2244.0400000196,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,48,dep,low,1623.50500000321,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,56,dep,low,2414.20999998809,1,match,pilot1
