,timeRel.bin,frequency,block3,datalgd,,control,low
1,0,control,block12,0.168467461,,,
2,50,control,block12,0.046328217,,,
3,100,control,block12,-0.09609709,,,
4,150,control,block12,0.054064407,,,
5,200,control,block12,0.077151378,,,
6,250,control,block12,0.134327589,,,
7,300,control,block12,0.041120298,,,
8,350,control,block12,0.074564785,,,
9,400,control,block12,-0.253358946,,,
10,450,control,block12,-0.164538373,,,
11,500,control,block12,-0.145007628,,,
12,550,control,block12,0.155947778,,,
13,600,control,block12,0.421706103,,,
14,650,control,block12,1.090207697,,,
15,700,control,block12,1.801353845,,,
16,750,control,block12,2.338639809,,,
17,800,control,block12,2.436063057,,,
18,850,control,block12,2.520793734,,,
19,900,control,block12,2.631573749,,,
20,950,control,block12,2.562378277,,,
21,1000,control,block12,2.695457759,,,
22,1050,control,block12,2.84887502,,,
23,1100,control,block12,2.826514997,,,
24,1150,control,block12,2.598678759,,,
25,1200,control,block12,2.632162102,,,
26,1250,control,block12,2.840470831,,,
27,1300,control,block12,2.549262853,,,
28,1350,control,block12,2.707748841,,,
29,1400,control,block12,2.810659088,,,
30,1450,control,block12,2.208251844,,,
31,1500,control,block12,1.430363612,,,
32,0,h,block12,0.144529053,,,
33,50,h,block12,0.247049426,,,
34,100,h,block12,0.432373528,,,
35,150,h,block12,0.402720247,,,
36,200,h,block12,0.527806184,,,
37,250,h,block12,0.634495209,,,
38,300,h,block12,0.447597228,,,
39,350,h,block12,0.575391701,,,
40,400,h,block12,0.638067803,,,
41,450,h,block12,0.689737774,,,
42,500,h,block12,0.897383351,,,
43,550,h,block12,0.864641049,,,
44,600,h,block12,1.436019623,,,
45,650,h,block12,2.029955561,,,
46,700,h,block12,2.385111998,,,
47,750,h,block12,2.677158679,,,
48,800,h,block12,3.112526323,,,
49,850,h,block12,3.17962929,,,
50,900,h,block12,3.229558433,,,
51,950,h,block12,3.129178315,,,
52,1000,h,block12,2.992751223,,,
53,1050,h,block12,3.108585339,,,
54,1100,h,block12,3.246350869,,,
55,1150,h,block12,3.062244197,,,
56,1200,h,block12,3.056858645,,,
57,1250,h,block12,3.019074409,,,
58,1300,h,block12,3.206429605,,,
59,1350,h,block12,3.108198814,,,
60,1400,h,block12,3.197785903,,,
61,1450,h,block12,2.720651213,,,
62,1500,h,block12,1.359263343,,,
63,1550,h,block12,0,,,
64,0,l,block12,0.033068325,,,
65,50,l,block12,0.322285136,,,
66,100,l,block12,0.160092745,,,
67,150,l,block12,-0.059692415,,,
68,200,l,block12,-0.002214002,,,
69,250,l,block12,0.073912604,,,
70,300,l,block12,-0.09195577,,,
71,350,l,block12,-0.166311321,,,
72,400,l,block12,0.149630573,,,
73,450,l,block12,-0.029586126,,,
74,500,l,block12,-0.06207224,,,
75,550,l,block12,0.263270584,,,
76,600,l,block12,0.550642327,,,
77,650,l,block12,0.999666716,,,
78,700,l,block12,2.089348253,,,
79,750,l,block12,2.445992431,,,
80,800,l,block12,2.663559121,,,
81,850,l,block12,2.720753485,,,
82,900,l,block12,2.304146276,,,
83,950,l,block12,2.706003346,,,
84,1000,l,block12,2.783492618,,,
85,1050,l,block12,2.687119577,,,
86,1100,l,block12,2.900598241,,,
87,1150,l,block12,2.786099635,,,
88,1200,l,block12,2.831313658,,,
89,1250,l,block12,2.908994731,,,
90,1300,l,block12,2.80859682,,,
91,1350,l,block12,2.545943917,,,
92,1400,l,block12,2.725533899,,,
93,1450,l,block12,2.318999051,,,
94,1500,l,block12,0.439444915,,,
95,1550,l,block12,0,,,
96,0,control,block34,-0.232057643,,-0.232057643,-0.135044504
97,50,control,block34,-0.075322732,,-0.075322732,-0.186187707
98,100,control,block34,-0.106159518,,-0.106159518,-0.061109137
99,150,control,block34,-0.286832015,,-0.286832015,-0.268014361
100,200,control,block34,-0.430303966,,-0.430303966,-0.463615492
101,250,control,block34,-0.330926566,,-0.330926566,-0.204124301
102,300,control,block34,-0.266145438,,-0.266145438,-0.017609757
103,350,control,block34,-0.255863412,,-0.255863412,-0.162693785
104,400,control,block34,-0.362018043,,-0.362018043,-0.141940901
105,450,control,block34,-0.443943793,,-0.443943793,-0.246336761
106,500,control,block34,-0.392306326,,-0.392306326,-0.220731561
107,550,control,block34,-0.419363688,,-0.419363688,-0.057930627
108,600,control,block34,0.020191796,,0.020191796,0.189717312
109,650,control,block34,0.800228872,,0.800228872,0.923794592
110,700,control,block34,1.3714853,,1.3714853,1.693688426
111,750,control,block34,1.983004028,,1.983004028,2.238038118
112,800,control,block34,2.134895957,,2.134895957,2.564692558
113,850,control,block34,2.205430274,,2.205430274,2.554911801
114,900,control,block34,2.317649142,,2.317649142,2.636560781
115,950,control,block34,2.4567952,,2.4567952,2.776252062
116,1000,control,block34,2.635237762,,2.635237762,2.942745886
117,1050,control,block34,2.674135895,,2.674135895,2.86223564
118,1100,control,block34,2.632527083,,2.632527083,2.635827734
119,1150,control,block34,2.626736357,,2.626736357,2.773260896
120,1200,control,block34,3.028947777,,3.028947777,3.000085847
121,1250,control,block34,2.859335202,,2.859335202,3.038207979
122,1300,control,block34,2.75590939,,2.75590939,2.828801833
123,1350,control,block34,2.818222694,,2.818222694,2.912470752
124,1400,control,block34,2.865510351,,2.865510351,3.061972983
125,1450,control,block34,2.124352449,,2.124352449,2.14995641
126,1500,control,block34,2.197224577,,2.197224577,1.500971767
