,subjID,subjLearnerType,IdScore,block1,block2,block3,,
4,3430836,ambig,-0.065369279,0.439778451,0.108399844,-0.047819819,,0.166786159
14,3528247,ambig,0.034243639,0.004069358,0.864585354,0.064791037,,0.311148583
1,3394859,learner,1.07079939,0.557313738,1.303992654,0.278352274,,0.713219555
2,3421453,learner,1.019820668,-0.090866383,-0.636300324,0.527831271,,-0.066445145
3,3424063,learner,1.327256055,0.239483081,0.19721801,-0.537233809,,-0.033510906
7,3475213,learner,0.306451933,-0.859577165,-0.011404775,0.891578416,,0.006865492
8,3481518,learner,1.066398298,-0.298790064,2.796887374,0.744752156,,1.080949822
11,3502663,learner,1.331696736,-1.426764005,0.227977612,-0.451316135,,-0.550034176
13,3528246,learner,1.333264036,-1.510363068,-1.431194763,0.104212158,,-0.945781891
5,3467073,overgen,-1.053542798,0.284876845,0.335620258,-1.751965811,,-0.377156236
6,3473048,overgen,-1.402699089,-0.282466218,-1.144397122,-0.608357921,,-0.678407087
9,3491839,overgen,-0.889490975,-0.298020678,-0.107490305,0.982622813,,0.19237061
10,3502650,overgen,-0.65259157,0.017823053,1.413044933,0.87010288,,0.766990289
12,3517616,overgen,-1.034090244,-0.570047864,0.929238467,-0.141370106,,0.072606832
15,3528252,overgen,-1.200997173,3.577911704,4.598453565,3.547663526,,3.908009598
