"","objectLookedAt","timeRel.bin","frequency","block3","proportionLooks"
"1","ControlOneFoilLk",0,"control","block12",0.060609243697479
"2","targetLabelLk",0,"control","block12",0.116993464052288
"3","ControlOneFoilLk",50,"control","block12",0.0632457683928272
"4","targetLabelLk",50,"control","block12",0.0969823114430958
"5","ControlOneFoilLk",100,"control","block12",0.0771809133301853
"6","targetLabelLk",100,"control","block12",0.100264600014487
"7","ControlOneFoilLk",150,"control","block12",0.0851320003273199
"8","targetLabelLk",150,"control","block12",0.11986487134318
"9","ControlOneFoilLk",200,"control","block12",0.068285974644865
"10","targetLabelLk",200,"control","block12",0.117462036873802
"11","ControlOneFoilLk",250,"control","block12",0.0768703334242398
"12","targetLabelLk",250,"control","block12",0.13069773239178
"13","ControlOneFoilLk",300,"control","block12",0.0868085177990022
"14","targetLabelLk",300,"control","block12",0.124896428534199
"15","ControlOneFoilLk",350,"control","block12",0.0876370044906019
"16","targetLabelLk",350,"control","block12",0.135528959058371
"17","ControlOneFoilLk",400,"control","block12",0.0935224036571696
"18","targetLabelLk",400,"control","block12",0.0922159667834408
"19","ControlOneFoilLk",450,"control","block12",0.110922407429112
"20","targetLabelLk",450,"control","block12",0.112583184465335
"21","ControlOneFoilLk",500,"control","block12",0.0924905531032642
"22","targetLabelLk",500,"control","block12",0.117715064591332
"23","ControlOneFoilLk",550,"control","block12",0.0898648681714152
"24","targetLabelLk",550,"control","block12",0.146726988586395
"25","ControlOneFoilLk",600,"control","block12",0.0828554786834838
"26","targetLabelLk",600,"control","block12",0.19294417894172
"27","ControlOneFoilLk",650,"control","block12",0.0627759636630213
"28","targetLabelLk",650,"control","block12",0.277606604090851
"29","ControlOneFoilLk",700,"control","block12",0.0411622026890193
"30","targetLabelLk",700,"control","block12",0.367760895154812
"31","ControlOneFoilLk",750,"control","block12",0.0346336397806986
"32","targetLabelLk",750,"control","block12",0.434683604958878
"33","ControlOneFoilLk",800,"control","block12",0.0304705332960561
"34","targetLabelLk",800,"control","block12",0.457238123053529
"35","ControlOneFoilLk",850,"control","block12",0.0322481360212122
"36","targetLabelLk",850,"control","block12",0.471038098129941
"37","ControlOneFoilLk",900,"control","block12",0.0232687426379377
"38","targetLabelLk",900,"control","block12",0.485244386962653
"39","ControlOneFoilLk",950,"control","block12",0.031713435865685
"40","targetLabelLk",950,"control","block12",0.480693470312847
"41","ControlOneFoilLk",1000,"control","block12",0.0273102774081649
"42","targetLabelLk",1000,"control","block12",0.497556320318617
"43","ControlOneFoilLk",1050,"control","block12",0.0216226859723035
"44","targetLabelLk",1050,"control","block12",0.504657896531079
"45","ControlOneFoilLk",1100,"control","block12",0.0299812131992063
"46","targetLabelLk",1100,"control","block12",0.505574922541322
"47","ControlOneFoilLk",1150,"control","block12",0.0315423138952551
"48","targetLabelLk",1150,"control","block12",0.475652836206469
"49","ControlOneFoilLk",1200,"control","block12",0.0304763779358571
"50","targetLabelLk",1200,"control","block12",0.490887446881346
"51","ControlOneFoilLk",1250,"control","block12",0.0339009965967715
"52","targetLabelLk",1250,"control","block12",0.521923393522374
"53","ControlOneFoilLk",1300,"control","block12",0.0334430771714509
"54","targetLabelLk",1300,"control","block12",0.475341945531728
"55","ControlOneFoilLk",1350,"control","block12",0.0326489686783804
"56","targetLabelLk",1350,"control","block12",0.512187477574778
"57","ControlOneFoilLk",1400,"control","block12",0.0219474153297683
"58","targetLabelLk",1400,"control","block12",0.503209389509699
"59","ControlOneFoilLk",1450,"control","block12",0.0296421987598458
"60","targetLabelLk",1450,"control","block12",0.505120206590795
"61","ControlOneFoilLk",1500,"control","block12",0.0555555555555556
"62","targetLabelLk",1500,"control","block12",0.666666666666667
"63","mismatch1LabelLk",0,"h","block12",0.0902543958099514
