subjID,expeType,diff,zScore_diff,task.x,match_Preference,zScore_matchPreference,task.y,combined_z
3528246,pilot2,199.8333333,1.388163268,contingency,1,1.396058665,2AFC,1.39
3424063,pilot1,198.4333333,1.372514148,contingency,0.98,1.285113606,2AFC,1.33
3502663,pilot2,192.6333333,1.307682077,contingency,0.96,1.174168546,2AFC,1.24
3394859,pilot1,193.1666667,1.313643647,contingency,0.94,1.063223487,2AFC,1.19
3481518,pilot1,179.9,1.165349601,contingency,0.93,1.007750957,2AFC,1.09
3421453,pilot1,138.0333333,0.69736638,contingency,0.9,0.841333368,2AFC,0.77
3475213,pilot1,125.0333333,0.552053119,contingency,0.82,0.39755313,2AFC,0.47
3528247,pilot2,89.73333333,0.157471726,contingency,0.82,0.39755313,2AFC,0.28
3430836,pilot1,130.2,0.609805826,contingency,0.7,-0.268117227,2AFC,0.17
3518198,pilot2,42.56666667,-0.369754594,contingency,0.75,0.009245422,2AFC,-0.18
3517616,pilot2,8.766666667,-0.747569073,contingency,0.65,-0.545479876,2AFC,-0.65
3528252,pilot2,26.9,-0.544875703,contingency,0.59,-0.878315054,2AFC,-0.71
3528273,pilot2,-2.366666667,-0.87201684,contingency,0.64,-0.600952406,2AFC,-0.74
3502650,pilot2,-0.166666667,-0.847425365,contingency,0.62,-0.711897465,2AFC,-0.78
3502047,pilot2,4.533333333,-0.794889032,contingency,,,2AFC,-0.79
3467073,pilot1,-14.56666667,-1.008387746,contingency,0.64,-0.600952406,2AFC,-0.8
3473048,pilot1,7.166666667,-0.765453782,contingency,0.56,-1.044732644,2AFC,-0.91
3517626,pilot2,-22.66666667,-1.098929086,contingency,0.62,-0.711897465,2AFC,-0.91
3491839,pilot1,-59.86666667,-1.514748572,contingency,0.35,-2.209655768,2AFC,-1.86
