subjID,expeType,match,mismatch-type1,mismatch-type2,timedOut,errorControl,errorControl-high,errorControl-low,total,match_Preference,mismatch1_Preference,zScore,task
3394859,pilot1,46,3,1,6,0,0,0,56,0.94,0.75,1.0632234868469,2AFC
3421453,pilot1,38,4,5,9,0,0,0,56,0.9,0.44,0.841333367852762,2AFC
3424063,pilot1,51,1,0,4,0,0,0,56,0.98,1,1.28511360584103,2AFC
3430836,pilot1,33,14,1,8,0,0,0,56,0.7,0.93,-0.268117227117913,2AFC
3467073,pilot1,30,17,1,2,1,1,4,56,0.64,0.94,-0.600952405609116,2AFC
3473048,pilot1,31,24,0,1,0,0,0,56,0.56,1,-1.04473264359739,2AFC
3475213,pilot1,40,9,3,3,0,1,0,56,0.82,0.75,0.397553129864492,2AFC
3481518,pilot1,50,4,2,0,0,0,0,56,0.93,0.67,1.00775095709836,2AFC
3491839,pilot1,13,24,5,2,4,4,4,56,0.35,0.83,-2.20965576831659,2AFC
3502650,pilot2,32,20,1,0,0,1,2,56,0.62,0.95,-0.711897465106183,2AFC
3502663,pilot2,46,2,3,4,0,1,0,56,0.96,0.4,1.17416854634396,2AFC
3517616,pilot2,26,14,15,0,1,0,0,56,0.65,0.48,-0.545479875860582,2AFC
3517626,pilot2,31,19,2,3,1,0,0,56,0.62,0.9,-0.711897465106183,2AFC
3518198,pilot2,39,13,2,2,0,0,0,56,0.75,0.87,0.00924542162475584,2AFC
3528246,pilot2,50,0,3,3,0,0,0,56,1,0,1.3960586653381,2AFC
3528247,pilot2,41,9,6,0,0,0,0,56,0.82,0.6,0.397553129864492,2AFC
3528252,pilot2,33,23,0,0,0,0,0,56,0.59,1,-0.878315054351785,2AFC
3528273,pilot2,30,17,3,4,1,0,1,56,0.64,0.85,-0.600952405609116,2AFC
