Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,frequency,trialType
1,1617096446121,30/03/2021 09:27:26,1617096446427,1,30/03/2021 10:27:26,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1617096465045,30/03/2021 09:27:45,1617096465124,1,30/03/2021 10:27:45,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,18201.515000000654,,,,,0,1,0,,,,,,instructions,,,,
3,1617096473262,30/03/2021 09:27:53,1617096473328,1,30/03/2021 10:27:53,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,advancementZone,continue_button,8196.07999999971,,,,,0,1,0,,,,,,instructions,,,,
4,1617096477749,30/03/2021 09:27:57,1617096478157,1,30/03/2021 10:27:58,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,advancementZone,continue_button,4822.740000000522,,,,,0,1,0,,,,,,instructions,,,,
5,1617096479604,30/03/2021 09:27:59,1617096480071,1,30/03/2021 10:28:00,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,1,1,4,Screen 4,advancementZone,continue_button,1908.5549999999785,,,,,0,1,0,,,,,,instructions,,,,
6,1617096480858,30/03/2021 09:28:00,1617096481311,1,30/03/2021 10:28:01,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,1,1,5,Screen 5,advancementZone,continue_button,1234.7800000006828,,,,,0,1,0,,,,,,instructions,,,,
7,1617096498951,30/03/2021 09:28:18,1617096499339,1,30/03/2021 10:28:19,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,1,1,6,Screen 6,advancementZone,continue_button,18021.880000000237,,,,,0,1,0,,,,,,instructions,,,,
8,1617096502456,30/03/2021 09:28:22,1617096502335,1,30/03/2021 10:28:22,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,1,1,7,Screen 7,Zone1,timelimit_screen,3003.023000000001,,,,,0,1,0,,,1,,,instructions,,,,
9,1617096502596,30/03/2021 09:28:22,1617096502787,1,30/03/2021 10:28:22,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,fixation,fixation,450.27300000000105,,,,,0,1,0,,,,,,task,20375.jpg,"<p style=""font-size: 500%;""> wug </p>",h,match
10,1617096502596,30/03/2021 09:28:22,1617096502841,1,30/03/2021 10:28:22,45245,3,task-jyd3,,11460268,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x818,,contingency,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,,task,20375.jpg,"<p style=""font-size: 500%;""> wug </p>",h,match
