Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,ShowProgressBar,frequency,trialType,list
1,1617178441936,31/03/2021 08:14:01,1617178441827,1,31/03/2021 09:14:01,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1617178452247,31/03/2021 08:14:12,1617178452181,1,31/03/2021 09:14:12,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,1,1,1,Screen 1,advancementZone,continue_button,7833.7400001473725,,,,,0,1,0,,,,,,instructions,,,,,,1
3,1617178460302,31/03/2021 08:14:20,1617178460230,1,31/03/2021 09:14:20,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,1,1,2,Screen 2,advancementZone,continue_button,8038.840000052005,,,,,0,1,0,,,,,,instructions,,,,,,1
4,1617178461671,31/03/2021 08:14:21,1617178461582,1,31/03/2021 09:14:21,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,1,1,3,Screen 3,advancementZone,continue_button,1343.0200000293553,,,,,0,1,0,,,,,,instructions,,,,,,1
5,1617178462603,31/03/2021 08:14:22,1617178462542,1,31/03/2021 09:14:22,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,1,1,4,Screen 4,advancementZone,continue_button,952.1749999839813,,,,,0,1,0,,,,,,instructions,,,,,,1
6,1617178463530,31/03/2021 08:14:23,1617178463470,1,31/03/2021 09:14:23,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,1,1,5,Screen 5,advancementZone,continue_button,921.2700000498444,,,,,0,1,0,,,,,,instructions,,,,,,1
7,1617178464674,31/03/2021 08:14:24,1617178464608,1,31/03/2021 09:14:24,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,1,1,6,Screen 6,advancementZone,continue_button,1131.3449998851866,,,,,0,1,0,,,,,,instructions,,,,,,1
8,1617178467686,31/03/2021 08:14:27,1617178467604,1,31/03/2021 09:14:27,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,1,1,7,Screen 7,Zone1,timelimit_screen,3001.3200000000033,,,,,0,1,0,,,1,,,instructions,,,,,,1
9,1617178468124,31/03/2021 08:14:28,1617178468053,1,31/03/2021 09:14:28,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,54,1,1,Screen 1,fixation,fixation,450.1979999999967,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
10,1617178468218,31/03/2021 08:14:28,1617178468075,1,31/03/2021 09:14:28,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,54,1,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
11,1617178472097,31/03/2021 08:14:32,1617178472027,1,31/03/2021 09:14:32,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,54,1,2,Screen 2,slider,response_slider_endValue,3952.084999997169,,,27,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
12,1617178472196,31/03/2021 08:14:32,1617178472028,1,31/03/2021 09:14:32,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,54,1,2,Screen 2,continueButton,continue_button,3952.084999997169,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
13,1617178472527,31/03/2021 08:14:32,1617178472466,1,31/03/2021 09:14:32,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,19,2,1,Screen 1,fixation,fixation,450.1980000000003,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,mismatch-type1,1
14,1617178472668,31/03/2021 08:14:32,1617178472485,1,31/03/2021 09:14:32,45245,5,task-jyd3,,11500743,BLIND,3502047,,complete,,60642af88923fa540be88a48,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,1280x800,1276x697,,contingency,3,listA,listA,listA,19,2,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,mismatch-type1,1
