Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,label,button1,button2,button3,button4,ShowProgressBar,frequency,list
1,1617268892775,01/04/2021 09:21:32,1617268892691,1,01/04/2021 10:21:32,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1617268915709,01/04/2021 09:21:55,1617268915656,1,01/04/2021 10:21:55,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,1,1,1,Screen 2,advancementZone,continue_button,22864.755000016885,,,,,0,1,0,,,,,,instructions,,,,,,,,,2
3,1617268916696,01/04/2021 09:21:56,1617268916639,1,01/04/2021 10:21:56,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,53,1,1,Screen 1,fixation,fixation,1000.4399999999987,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> bim</p>",21775.jpg,12775.jpg,32575.jpg,bim23.jpg,1,control_high,2
4,1617268918258,01/04/2021 09:21:58,1617268918216,1,01/04/2021 10:21:58,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,53,1,2,Screen 2,buttonD,response_button_image,1560.1800000004005,,,bim23.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> bim</p>",21775.jpg,12775.jpg,32575.jpg,bim23.jpg,1,control_high,2
5,1617268919258,01/04/2021 09:21:59,1617268919203,1,01/04/2021 10:21:59,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,53,1,3,Screen 3,Zone1,timelimit_screen,1000.4400000000023,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> bim</p>",21775.jpg,12775.jpg,32575.jpg,bim23.jpg,1,control_high,2
6,1617268920257,01/04/2021 09:22:00,1617268920202,1,01/04/2021 10:22:00,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,5,2,1,Screen 1,fixation,fixation,1000.4399999999987,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> wug</p>",11775.jpg,23175.jpg,bim12.jpg,33475.jpg,1,high,2
7,1617268921978,01/04/2021 09:22:01,1617268921936,1,01/04/2021 10:22:01,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,5,2,2,Screen 2,buttonB,response_button_image,1719.7150000138208,,,23175.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> wug</p>",11775.jpg,23175.jpg,bim12.jpg,33475.jpg,1,high,2
8,1617268922956,01/04/2021 09:22:02,1617268922922,1,01/04/2021 10:22:02,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,5,2,3,Screen 3,Zone1,timelimit_screen,1000.4399999999987,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> wug</p>",11775.jpg,23175.jpg,bim12.jpg,33475.jpg,1,high,2
9,1617268923969,01/04/2021 09:22:03,1617268923921,1,01/04/2021 10:22:03,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,20,3,1,Screen 1,fixation,fixation,1000.4399999999987,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",20375.jpg,13075.jpg,31375.jpg,bim13.jpg,1,high,2
10,1617268925160,01/04/2021 09:22:05,1617268925115,1,01/04/2021 10:22:05,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,20,3,2,Screen 2,buttonB,response_button_image,1180.965000006836,,,13075.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",20375.jpg,13075.jpg,31375.jpg,bim13.jpg,1,high,2
11,1617268926148,01/04/2021 09:22:06,1617268926106,1,01/04/2021 10:22:06,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,20,3,3,Screen 3,Zone1,timelimit_screen,1000.4400000000023,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> dep</p>",20375.jpg,13075.jpg,31375.jpg,bim13.jpg,1,high,2
12,1617268927137,01/04/2021 09:22:07,1617268927105,1,01/04/2021 10:22:07,45245,6,task-67pm,,11565241,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,2AFC - 4 pictures,5,listB,listB,listB,29,4,1,Screen 1,fixation,fixation,1000.4400000000023,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> bim</p>",31625.jpg,bim21.jpg,21925.jpg,10725.jpg,1,control_low,2
