Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,ShowProgressBar,frequency,trialType,list
1,1617269118178,01/04/2021 09:25:18,1617269118068,1,01/04/2021 10:25:18,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1617269212005,01/04/2021 09:26:52,1617269211948,1,01/04/2021 10:26:51,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,1,1,1,Screen 1,advancementZone,continue_button,93503.53499999619,,,,,0,1,0,,,,,,instructions,,,,,,2
3,1617269220312,01/04/2021 09:27:00,1617269220282,1,01/04/2021 10:27:00,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,1,1,2,Screen 2,advancementZone,continue_button,8322.580000007292,,,,,0,1,0,,,,,,instructions,,,,,,2
4,1617269222145,01/04/2021 09:27:02,1617269222105,1,01/04/2021 10:27:02,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,1,1,3,Screen 3,advancementZone,continue_button,1814.9299999931827,,,,,0,1,0,,,,,,instructions,,,,,,2
5,1617269223052,01/04/2021 09:27:03,1617269222978,1,01/04/2021 10:27:02,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,1,1,4,Screen 4,advancementZone,continue_button,862.1949999942444,,,,,0,1,0,,,,,,instructions,,,,,,2
6,1617269224290,01/04/2021 09:27:04,1617269224247,1,01/04/2021 10:27:04,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,1,1,5,Screen 5,advancementZone,continue_button,1260.9299999894574,,,,,0,1,0,,,,,,instructions,,,,,,2
7,1617269225814,01/04/2021 09:27:05,1617269225788,1,01/04/2021 10:27:05,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,1,1,6,Screen 6,advancementZone,continue_button,1531.7349999968428,,,,,0,1,0,,,,,,instructions,,,,,,2
8,1617269228827,01/04/2021 09:27:08,1617269228784,1,01/04/2021 10:27:08,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,1,1,7,Screen 7,Zone1,timelimit_screen,3001.320000000007,,,,,0,1,0,,,1,,,instructions,,,,,,2
9,1617269229275,01/04/2021 09:27:09,1617269229233,1,01/04/2021 10:27:09,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,53,1,1,Screen 1,fixation,fixation,450.19800000000396,,,,,0,1,0,,,,,1,task,32125.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,2
10,1617269229341,01/04/2021 09:27:09,1617269229256,1,01/04/2021 10:27:09,45245,6,task-dlw7,,11565418,BLIND,3517616,,complete,,606589454b1948e799b24919,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1280x800,1280x721,,contingency,3,listB,listB,listB,53,1,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,32125.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,2
