Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,label,button1,button2,button3,button4,ShowProgressBar,frequency,list
1,1617182355938,31/03/2021 09:19:15,1617182355684,1,31/03/2021 10:19:15,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1617182364220,31/03/2021 09:19:24,1617182364102,1,31/03/2021 10:19:24,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,1,1,1,Screen 2,advancementZone,continue_button,8338.200000000143,,,,,0,1,0,,,,,,instructions,,,,,,,,,1
3,1617182365238,31/03/2021 09:19:25,1617182365096,1,31/03/2021 10:19:25,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,10,1,1,Screen 1,fixation,fixation,1000.0199999999986,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",bim13.jpg,22125.jpg,11225.jpg,31325.jpg,1,low,1
4,1617182368664,31/03/2021 09:19:28,1617182368547,1,31/03/2021 10:19:28,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,10,1,2,Screen 2,buttonA,response_button_image,3430.900000000065,,,bim13.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",bim13.jpg,22125.jpg,11225.jpg,31325.jpg,1,low,1
5,1617182369685,31/03/2021 09:19:29,1617182369546,1,31/03/2021 10:19:29,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,10,1,3,Screen 3,Zone1,timelimit_screen,1000.0200000000004,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> dep</p>",bim13.jpg,22125.jpg,11225.jpg,31325.jpg,1,low,1
6,1617182370732,31/03/2021 09:19:30,1617182370545,1,31/03/2021 10:19:30,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,12,2,1,Screen 1,fixation,fixation,1000.0200000000004,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",21125.jpg,bim14.jpg,11025.jpg,30925.jpg,1,low,1
7,1617182373898,31/03/2021 09:19:33,1617182373774,1,31/03/2021 10:19:33,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,12,2,2,Screen 2,buttonA,response_button_image,3211.765000000014,,,21125.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",21125.jpg,bim14.jpg,11025.jpg,30925.jpg,1,low,1
8,1617182374876,31/03/2021 09:19:34,1617182374762,1,31/03/2021 10:19:34,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,12,2,3,Screen 3,Zone1,timelimit_screen,1000.0200000000004,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> dep</p>",21125.jpg,bim14.jpg,11025.jpg,30925.jpg,1,low,1
9,1617182375876,31/03/2021 09:19:35,1617182375762,1,31/03/2021 10:19:35,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,25,3,1,Screen 1,fixation,fixation,1000.0200000000004,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",bim18.jpg,20625.jpg,11525.jpg,31625.jpg,1,low,1
10,1617182379031,31/03/2021 09:19:39,1617182378891,1,31/03/2021 10:19:38,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,25,3,2,Screen 2,buttonB,response_button_image,3112.194999999927,,,20625.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> dep</p>",bim18.jpg,20625.jpg,11525.jpg,31625.jpg,1,low,1
11,1617182380023,31/03/2021 09:19:40,1617182379880,1,31/03/2021 10:19:39,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,25,3,3,Screen 3,Zone1,timelimit_screen,1000.0199999999968,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> dep</p>",bim18.jpg,20625.jpg,11525.jpg,31625.jpg,1,low,1
12,1617182381020,31/03/2021 09:19:41,1617182380879,1,31/03/2021 10:19:40,45245,6,task-hpz2,,11503085,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,2AFC - 4 pictures,5,listA,listA,listA,2,4,1,Screen 1,fixation,fixation,1000.0200000000004,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> bim</p>",bim13.jpg,20525.jpg,11625.jpg,30725.jpg,1,control_low,1
