Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,label,button1,button2,button3,button4,ShowProgressBar,frequency,list
1,1617182316025,31/03/2021 09:18:36,1617182315083,1,31/03/2021 10:18:35,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1617182326711,31/03/2021 09:18:46,1617182325854,1,31/03/2021 10:18:45,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,1,1,1,Screen 2,advancementZone,continue_button,10676.369999999679,,,,,0,1,0,,,,,,instructions,,,,,,,,,3
3,1617182327718,31/03/2021 09:18:47,1617182326833,1,31/03/2021 10:18:46,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,2,1,1,Screen 1,fixation,fixation,1005.0789999999997,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> tob</p>",31875.jpg,bim13.jpg,10575.jpg,23575.jpg,1,high,3
4,1617182330031,31/03/2021 09:18:50,1617182329147,1,31/03/2021 10:18:49,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,2,1,2,Screen 2,buttonD,response_button_image,2293.565000000399,,,23575.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> tob</p>",31875.jpg,bim13.jpg,10575.jpg,23575.jpg,1,high,3
5,1617182330985,31/03/2021 09:18:50,1617182330132,1,31/03/2021 10:18:50,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,2,1,3,Screen 3,Zone1,timelimit_screen,999.960000000001,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> tob</p>",31875.jpg,bim13.jpg,10575.jpg,23575.jpg,1,high,3
6,1617182332016,31/03/2021 09:18:52,1617182331132,1,31/03/2021 10:18:51,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,18,2,1,Screen 1,fixation,fixation,999.960000000001,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> tob</p>",30275.jpg,21875.jpg,bim14.jpg,13175.jpg,1,high,3
7,1617182333740,31/03/2021 09:18:53,1617182332893,1,31/03/2021 10:18:52,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,18,2,2,Screen 2,buttonA,response_button_image,1743.4399999997368,,,30275.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> tob</p>",30275.jpg,21875.jpg,bim14.jpg,13175.jpg,1,high,3
8,1617182334737,31/03/2021 09:18:54,1617182333883,1,31/03/2021 10:18:53,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,18,2,3,Screen 3,Zone1,timelimit_screen,999.9600000000028,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> tob</p>",30275.jpg,21875.jpg,bim14.jpg,13175.jpg,1,high,3
9,1617182335723,31/03/2021 09:18:55,1617182334882,1,31/03/2021 10:18:54,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,32,3,1,Screen 1,fixation,fixation,999.9599999999991,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> tob</p>",12275.jpg,21375.jpg,bim14.jpg,31175.jpg,1,high,3
10,1617182337804,31/03/2021 09:18:57,1617182336956,1,31/03/2021 10:18:56,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,32,3,2,Screen 2,buttonD,response_button_image,2056.510000000344,,,31175.jpg,1,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> tob</p>",12275.jpg,21375.jpg,bim14.jpg,31175.jpg,1,high,3
11,1617182338818,31/03/2021 09:18:58,1617182337956,1,31/03/2021 10:18:57,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,32,3,3,Screen 3,Zone1,timelimit_screen,999.9600000000028,,,,,0,1,0,,,1,,1,task,,"<p style=""font-size: 700%;""> tob</p>",12275.jpg,21375.jpg,bim14.jpg,31175.jpg,1,high,3
12,1617182339792,31/03/2021 09:18:59,1617182338955,1,31/03/2021 10:18:58,45245,6,task-jc49,,11503066,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,2AFC - 4 pictures,5,listC,listC,listC,26,4,1,Screen 1,fixation,fixation,999.9599999999991,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 700%;""> tob</p>",bim10.jpg,10425.jpg,30425.jpg,20125.jpg,1,low,3
