Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,ShowProgressBar,frequency,trialType,list
1,1617182549370,31/03/2021 09:22:29,1617182548450,1,31/03/2021 10:22:28,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1617182580411,31/03/2021 09:23:00,1617182579554,1,31/03/2021 10:22:59,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,1,1,1,Screen 1,advancementZone,continue_button,30578.98000000023,,,,,0,1,0,,,,,,instructions,,,,,,3
3,1617182590715,31/03/2021 09:23:10,1617182589831,1,31/03/2021 10:23:09,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,1,1,2,Screen 2,advancementZone,continue_button,10267.504999999801,,,,,0,1,0,,,,,,instructions,,,,,,3
4,1617182593624,31/03/2021 09:23:13,1617182592762,1,31/03/2021 10:23:12,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,1,1,3,Screen 3,advancementZone,continue_button,2920.099999999824,,,,,0,1,0,,,,,,instructions,,,,,,3
5,1617182594940,31/03/2021 09:23:14,1617182594092,1,31/03/2021 10:23:14,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,1,1,4,Screen 4,advancementZone,continue_button,1318.6850000001868,,,,,0,1,0,,,,,,instructions,,,,,,3
6,1617182597042,31/03/2021 09:23:17,1617182596197,1,31/03/2021 10:23:16,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,1,1,5,Screen 5,advancementZone,continue_button,2094.3099999999467,,,,,0,1,0,,,,,,instructions,,,,,,3
7,1617182598276,31/03/2021 09:23:18,1617182597393,1,31/03/2021 10:23:17,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,1,1,6,Screen 6,advancementZone,continue_button,1185.5649999997695,,,,,0,1,0,,,,,,instructions,,,,,,3
8,1617182601232,31/03/2021 09:23:21,1617182600395,1,31/03/2021 10:23:20,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,1,1,7,Screen 7,Zone1,timelimit_screen,3005.3430000000008,,,,,0,1,0,,,1,,,instructions,,,,,,3
9,1617182601685,31/03/2021 09:23:21,1617182600842,1,31/03/2021 10:23:20,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,42,1,1,Screen 1,fixation,fixation,449.98199999999633,,,,,0,1,0,,,,,1,task,10625.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,mismatch-type1,3
10,1617182601752,31/03/2021 09:23:21,1617182600865,1,31/03/2021 10:23:20,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,42,1,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,10625.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,mismatch-type1,3
