"randomise_blocks","randomise_trials","display","fribbleID","labelPresented","frequency","trialType","ShowProgressBar","list"
,,"instructions",,,,,,1
"",1,"task","12975.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,1
"",1,"task","30425.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,1
"",1,"task","32325.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,1
"",1,"task","31575.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,1
"",1,"task","21425.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,1
"",1,"task","22525.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,1
"",1,"task","22225.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,1
"",1,"task","32425.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,1
"",1,"task","22325.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,1
"",1,"task","10125.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,1
"",1,"task","13575.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,1
"",1,"task","32475.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,1
"",1,"task","10525.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,1
"",1,"task","12075.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,1
"",1,"task","10925.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,1
"",1,"task","31875.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,1
"",1,"task","13175.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,1
"",1,"task","20775.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,1
"",1,"task","12125.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,1
"",1,"task","30125.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,1
"",1,"task","22675.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,1
