randomise_blocks,randomise_trials,display,TimedSection,ANSWER,ID,buttonLeft,buttonRight,buttonCenter,leftLabel,centerLabel,rightLabel,pause,label,frequency,list
,,screen calibration,,,,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,,,1
,,instructions1,,,,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,,,1
,,practice,,,30475.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,,1
,,practice,,,22375.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,,1
,,practice,,,11175.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,,1
,,practice,,,12525.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,,1
,,practice,,,32225.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,,1
,,practice,,,20425.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,,1
,,instructions2,,,,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,,,1
,1,experiment,,l,22975.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h,1
,1,experiment,,r,32575.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,h,1
,1,experiment,,r,31075.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,h,1
,1,experiment,,c,11675.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,h,1
,1,experiment,,c,11175.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,h,1
,1,experiment,,r,32375.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,h,1
,1,experiment,,c,12525.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,l,1
,1,experiment,,c,bim24.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">bim</p>","<p style=""font-size: 700%;""></p>",,bim,control,1
,1,experiment,,l,21875.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h,1
,1,experiment,,c,12125.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,l,1
,1,experiment,,l,22475.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h,1
,1,experiment,,l,bim15.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">bim</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,bim,control,1
,1,experiment,,c,11175.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,h,1
,1,experiment,,r,30425.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,l,1
,1,experiment,,l,22375.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h,1
,1,experiment,,l,22775.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h,1
,1,experiment,,l,bim6.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">bim</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,bim,control,1
,1,experiment,,r,31425.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,l,1
,1,experiment,,l,22175.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h,1
,1,experiment,,l,23575.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h,1
,1,experiment,,l,21925.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,l,1
,1,experiment,,c,bim15.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">bim</p>","<p style=""font-size: 700%;""></p>",,bim,control,1
