display,ID,label,frequency,ANSWER,leftLabel,rightLabel,centerLabel,buttonLeft,buttonRight,buttonCenter,randomise_blocks,randomise_trials,TimedSection,pause,list
screen calibration,,,,,,,,,,,,,,,3
instructions1,,,,,,,,,,,,,,,3
practice,31075.jpg,tob,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,,3
practice,22575.jpg,wug,,,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,3
practice,12775.jpg,dep,,,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,3
practice,10225.jpg,dep,,,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,3
practice,31825.jpg,tob,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,,3
practice,21225.jpg,wug,,,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,3
instructions2,,,,,,,,,,,,,,,3
experiment,13475.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,30925.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,20275.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,20475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,30275.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,32075.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,12375.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,bim18.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,bim5.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,30475.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,22775.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,bim18.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,22875.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,10225.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,30175.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,32975.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,20125.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,bim10.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,12075.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,10525.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,22075.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,12375.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
