randomise_blocks,randomise_trials,display,TimedSection,ANSWER,ID,buttonLeft,buttonRight,buttonCenter,leftLabel,centerLabel,rightLabel,pause,label,frequency
,,screen calibration,,,,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,,
,,instructions1,,,,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,,
,,practice,,,30475.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,
,,practice,,,22375.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,
,,practice,,,11175.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,
,,practice,,,12525.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">dep</p>","<p style=""font-size: 700%;""></p>",,dep,
,,practice,,,32225.jpg,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;"">tob</p>",,tob,
,,practice,,,20425.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,
,,instructions2,,,,"<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,,
,1,experiment,,,22975.jpg,"<p style=""font-size: 500%;"">Click for next trial</p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 500%;""></p>","<p style=""font-size: 700%;"">wug</p>","<p style=""font-size: 700%;""></p>","<p style=""font-size: 700%;""></p>",,wug,h
