task,subjID,trial,resp,labelPresented,frequency,acc
2AFC Generalization,3568694,1,wug,tob,high,0
2AFC Generalization,3568694,2,tob,wug,high,0
2AFC Generalization,3568694,3,tob,wug,high,0
2AFC Generalization,3568694,4,tob,tob,low,1
2AFC Generalization,3568694,5,tob,tob,low,1
2AFC Generalization,3568694,6,tob,wug,high,0
2AFC Generalization,3568694,7,tob,tob,low,1
2AFC Generalization,3568694,8,wug,wug,high,1
2AFC Generalization,3568694,9,wug,tob,high,0
2AFC Generalization,3568694,10,wug,wug,low,1
2AFC Generalization,3568694,11,tob,tob,low,1
2AFC Generalization,3568694,12,wug,tob,high,0
2AFC Generalization,3568694,13,tob,tob,low,1
2AFC Generalization,3568694,14,wug,wug,low,1
2AFC Generalization,3568694,15,tob,wug,high,0
2AFC Generalization,3568694,16,tob,tob,low,1
2AFC Generalization,3568694,17,tob,wug,high,0
2AFC Generalization,3568694,18,tob,tob,low,1
2AFC Generalization,3568694,19,wug,tob,high,0
2AFC Generalization,3568694,20,wug,tob,high,0
2AFC Generalization,3568694,21,wug,tob,high,0
2AFC Generalization,3568694,22,wug,tob,high,0
2AFC Generalization,3568694,23,tob,tob,low,1
2AFC Generalization,3568694,24,wug,wug,low,1
2AFC Generalization,3568694,25,wug,tob,high,0
2AFC Generalization,3568694,26,wug,wug,low,1
2AFC Generalization,3568694,27,wug,wug,low,1
2AFC Generalization,3568694,28,wug,tob,high,0
2AFC Generalization,3568694,29,tob,wug,high,0
2AFC Generalization,3568694,30,wug,wug,high,1
2AFC Generalization,3568694,31,tob,tob,low,1
2AFC Generalization,3568694,32,wug,wug,low,1
2AFC Generalization,3568694,33,tob,wug,high,0
2AFC Generalization,3568694,34,wug,wug,low,1
2AFC Generalization,3568694,35,NA,wug,high,NA
2AFC Generalization,3568694,36,wug,wug,low,1
2AFC Generalization,3568694,37,wug,wug,low,1
2AFC Generalization,3568694,38,tob,tob,low,1
2AFC Generalization,3568694,39,wug,tob,high,0
2AFC Generalization,3568694,40,wug,wug,low,1
2AFC Generalization,3568942,1,tob,wug,high,0
2AFC Generalization,3568942,2,NA,tob,high,NA
2AFC Generalization,3568942,3,tob,wug,low,0
2AFC Generalization,3568942,4,tob,tob,high,1
2AFC Generalization,3568942,5,tob,tob,high,1
2AFC Generalization,3568942,6,wug,tob,high,0
2AFC Generalization,3568942,7,wug,tob,high,0
2AFC Generalization,3568942,8,NA,wug,high,NA
2AFC Generalization,3568942,9,NA,tob,high,NA
2AFC Generalization,3568942,10,wug,wug,low,1
2AFC Generalization,3568942,11,wug,tob,low,0
2AFC Generalization,3568942,12,tob,wug,high,0
2AFC Generalization,3568942,13,wug,tob,high,0
2AFC Generalization,3568942,14,wug,wug,low,1
2AFC Generalization,3568942,15,tob,wug,high,0
2AFC Generalization,3568942,16,wug,tob,high,0
2AFC Generalization,3568942,17,tob,wug,low,0
2AFC Generalization,3568942,18,tob,wug,low,0
2AFC Generalization,3568942,19,tob,tob,low,1
2AFC Generalization,3568942,20,NA,tob,high,NA
2AFC Generalization,3568942,21,tob,wug,high,0
2AFC Generalization,3568942,22,tob,tob,high,1
2AFC Generalization,3568942,23,tob,wug,low,0
2AFC Generalization,3568942,24,tob,wug,high,0
2AFC Generalization,3568942,25,tob,wug,low,0
2AFC Generalization,3568942,26,tob,wug,high,0
2AFC Generalization,3568942,27,tob,tob,low,1
2AFC Generalization,3568942,28,tob,tob,low,1
2AFC Generalization,3568942,29,tob,tob,low,1
2AFC Generalization,3568942,30,tob,wug,high,0
2AFC Generalization,3568942,31,tob,wug,low,0
2AFC Generalization,3568942,32,tob,tob,low,1
2AFC Generalization,3568942,33,wug,wug,high,1
2AFC Generalization,3568942,34,tob,wug,low,0
2AFC Generalization,3568942,35,tob,tob,low,1
2AFC Generalization,3568942,36,tob,wug,high,0
2AFC Generalization,3568942,37,tob,tob,low,1
2AFC Generalization,3568942,38,tob,wug,low,0
2AFC Generalization,3568942,39,tob,tob,low,1
2AFC Generalization,3568942,40,tob,tob,low,1
2AFC Generalization,3568637,1,NA,wug,low,NA
2AFC Generalization,3568637,2,wug,tob,high,0
2AFC Generalization,3568637,3,tob,tob,high,1
2AFC Generalization,3568637,4,wug,wug,high,1
2AFC Generalization,3568637,5,tob,tob,low,1
2AFC Generalization,3568637,6,wug,tob,low,0
2AFC Generalization,3568637,7,wug,tob,low,0
2AFC Generalization,3568637,8,tob,tob,low,1
2AFC Generalization,3568637,9,tob,wug,high,0
2AFC Generalization,3568637,10,wug,tob,low,0
2AFC Generalization,3568637,11,wug,tob,high,0
2AFC Generalization,3568637,12,tob,tob,high,1
2AFC Generalization,3568637,13,tob,wug,high,0
2AFC Generalization,3568637,14,tob,wug,low,0
2AFC Generalization,3568637,15,wug,tob,high,0
2AFC Generalization,3568637,16,wug,tob,low,0
2AFC Generalization,3568637,17,tob,wug,low,0
2AFC Generalization,3568637,18,NA,tob,high,NA
2AFC Generalization,3568637,19,wug,tob,high,0
2AFC Generalization,3568637,20,wug,wug,low,1
2AFC Generalization,3568637,21,wug,tob,low,0
2AFC Generalization,3568637,22,wug,wug,low,1
2AFC Generalization,3568637,23,tob,wug,low,0
2AFC Generalization,3568637,24,tob,tob,high,1
2AFC Generalization,3568637,25,wug,wug,low,1
2AFC Generalization,3568637,26,tob,tob,low,1
2AFC Generalization,3568637,27,wug,wug,high,1
2AFC Generalization,3568637,28,wug,tob,low,0
2AFC Generalization,3568637,29,wug,wug,low,1
2AFC Generalization,3568637,30,wug,wug,high,1
2AFC Generalization,3568637,31,wug,tob,low,0
2AFC Generalization,3568637,32,wug,wug,high,1
2AFC Generalization,3568637,33,tob,wug,low,0
