task,subjID,trial,resp,labelPresented,frequency,trialType
Contingency judgement test ,3568942,1,-6,wug,high,match
Contingency judgement test ,3568942,2,6,tob,low,match
Contingency judgement test ,3568942,3,0,tob,low,match
Contingency judgement test ,3568942,4,5,wug,low,match
Contingency judgement test ,3568942,5,3,wug,low,mismatch
Contingency judgement test ,3568942,6,8,tob,high,mismatch
Contingency judgement test ,3568942,7,5,wug,low,match
Contingency judgement test ,3568942,8,-3,wug,high,match
Contingency judgement test ,3568942,9,4,tob,low,mismatch
Contingency judgement test ,3568942,10,5,tob,high,match
Contingency judgement test ,3568942,11,2,wug,low,match
Contingency judgement test ,3568942,12,1,wug,high,mismatch
Contingency judgement test ,3568942,13,5,tob,high,mismatch
Contingency judgement test ,3568942,14,-2,tob,low,mismatch
Contingency judgement test ,3568942,15,-2,wug,high,match
Contingency judgement test ,3568942,16,6,wug,high,mismatch
Contingency judgement test ,3568942,17,-3,wug,low,mismatch
Contingency judgement test ,3568942,18,4,tob,low,match
Contingency judgement test ,3568942,19,-3,tob,low,mismatch
Contingency judgement test ,3568942,20,5,tob,low,match
Contingency judgement test ,3568942,21,3,wug,high,mismatch
Contingency judgement test ,3568942,22,3,wug,low,match
Contingency judgement test ,3568942,23,-3,wug,high,match
Contingency judgement test ,3568942,24,-4,tob,high,match
Contingency judgement test ,3568942,25,4,tob,high,mismatch
Contingency judgement test ,3568942,26,-4,wug,low,mismatch
Contingency judgement test ,3568942,27,6,wug,high,mismatch
Contingency judgement test ,3568942,28,5,tob,low,mismatch
Contingency judgement test ,3568942,29,-3,wug,low,match
Contingency judgement test ,3568942,30,4,tob,low,match
Contingency judgement test ,3568942,31,4,wug,low,mismatch
Contingency judgement test ,3568942,32,4,wug,high,match
Contingency judgement test ,3568942,33,5,tob,high,match
Contingency judgement test ,3568942,34,4,tob,low,mismatch
Contingency judgement test ,3568942,35,-3,wug,low,mismatch
Contingency judgement test ,3568942,36,4,tob,high,mismatch
Contingency judgement test ,3568942,37,4,tob,high,match
Contingency judgement test ,3568942,38,5,tob,high,match
Contingency judgement test ,3568942,39,4,wug,high,mismatch
Contingency judgement test ,3568942,40,2,tob,high,mismatch
Contingency judgement test ,3568637,1,6,tob,high,match
Contingency judgement test ,3568637,2,-7,tob,high,mismatch
Contingency judgement test ,3568637,3,7,wug,low,mismatch
Contingency judgement test ,3568637,4,6,tob,high,match
Contingency judgement test ,3568637,5,8,wug,high,mismatch
Contingency judgement test ,3568637,6,0,tob,low,mismatch
Contingency judgement test ,3568637,7,6,wug,high,mismatch
Contingency judgement test ,3568637,8,-5,tob,low,mismatch
Contingency judgement test ,3568637,9,6,wug,high,match
Contingency judgement test ,3568637,10,6,tob,low,match
Contingency judgement test ,3568637,11,0,tob,low,match
Contingency judgement test ,3568637,12,-4,wug,high,mismatch
Contingency judgement test ,3568637,13,0,wug,high,match
Contingency judgement test ,3568637,14,-6,wug,low,match
Contingency judgement test ,3568637,15,-5,wug,high,match
Contingency judgement test ,3568637,16,0,tob,high,match
Contingency judgement test ,3568637,17,-5,wug,high,mismatch
Contingency judgement test ,3568637,18,8,tob,high,match
Contingency judgement test ,3568637,19,4,tob,low,match
Contingency judgement test ,3568637,20,0,wug,low,match
Contingency judgement test ,3568637,21,0,tob,high,mismatch
Contingency judgement test ,3568637,22,0,wug,low,match
Contingency judgement test ,3568637,23,-6,tob,low,mismatch
Contingency judgement test ,3568637,24,3,tob,low,match
Contingency judgement test ,3568637,25,4,tob,high,mismatch
Contingency judgement test ,3568637,26,4,wug,low,match
Contingency judgement test ,3568637,27,0,wug,high,match
Contingency judgement test ,3568637,28,4,tob,low,mismatch
Contingency judgement test ,3568637,29,0,tob,high,mismatch
Contingency judgement test ,3568637,30,7,tob,low,mismatch
Contingency judgement test ,3568637,31,-7,wug,low,mismatch
Contingency judgement test ,3568637,32,1,tob,low,match
Contingency judgement test ,3568637,33,3,wug,high,match
Contingency judgement test ,3568637,34,-3,wug,low,mismatch
Contingency judgement test ,3568637,35,-3,wug,low,mismatch
Contingency judgement test ,3568637,36,-8,wug,low,mismatch
Contingency judgement test ,3568637,37,0,wug,low,match
Contingency judgement test ,3568637,38,2,tob,high,mismatch
Contingency judgement test ,3568637,39,-5,wug,high,mismatch
Contingency judgement test ,3568637,40,0,tob,high,match
Contingency judgement test ,3568681,1,-3,wug,high,match
Contingency judgement test ,3568681,2,-9,tob,low,mismatch
Contingency judgement test ,3568681,3,-8,wug,low,mismatch
Contingency judgement test ,3568681,4,-8,tob,low,match
Contingency judgement test ,3568681,5,-7,wug,high,mismatch
Contingency judgement test ,3568681,6,-7,wug,high,mismatch
Contingency judgement test ,3568681,7,-8,tob,high,mismatch
Contingency judgement test ,3568681,8,-6,wug,high,match
Contingency judgement test ,3568681,9,-8,tob,high,mismatch
Contingency judgement test ,3568681,10,-8,tob,high,mismatch
Contingency judgement test ,3568681,11,-7,wug,low,match
Contingency judgement test ,3568681,12,-6,tob,high,match
Contingency judgement test ,3568681,13,-5,tob,low,match
Contingency judgement test ,3568681,14,-5,tob,high,match
Contingency judgement test ,3568681,15,-5,tob,low,mismatch
Contingency judgement test ,3568681,16,-6,wug,low,mismatch
Contingency judgement test ,3568681,17,-8,wug,low,mismatch
Contingency judgement test ,3568681,18,-8,wug,high,mismatch
Contingency judgement test ,3568681,19,-8,tob,high,match
Contingency judgement test ,3568681,20,-6,wug,low,match
Contingency judgement test ,3568681,21,-6,wug,low,match
Contingency judgement test ,3568681,22,0,tob,low,match
Contingency judgement test ,3568681,23,-6,wug,high,match
Contingency judgement test ,3568681,24,0,wug,high,mismatch
Contingency judgement test ,3568681,25,-4,tob,high,mismatch
Contingency judgement test ,3568681,26,0,tob,high,match
Contingency judgement test ,3568681,27,0,wug,low,mismatch
Contingency judgement test ,3568681,28,0,tob,low,match
Contingency judgement test ,3568681,29,0,tob,low,mismatch
Contingency judgement test ,3568681,30,-2,wug,low,mismatch
Contingency judgement test ,3568681,31,0,tob,low,match
